,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
479,Łukasz Skorupski,pl POL,GK,Roma,26,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab4449d6
480,Milan Škriniar,sk SVK,DF,Inter,22,1995,38.0,4,21,10,47.6,0.55,0.26,0.19,0.40,12.3,0,0,0,3.2,3.2,0.15,+0.8,+0.8,Matches,30f5ffa9
481,Stefano Sorrentino,it ITA,GK,Chievo,38,1979,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,048877f5
482,Samuel Souprayen,fr FRA,DF,Hellas Verona,28,1989,17.6,0,5,0,0.0,0.28,0.00,0.00,,25.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,f7c9fcd6
483,Luca Sparandeo,it ITA,DF,Benevento,17,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dfbb3234
484,Leonardo Spinazzola,it ITA,DF,Atalanta,24,1993,16.7,0,9,1,11.1,0.54,0.06,0.00,0.00,17.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,3626daea
485,Nicolás Spolli,ar ARG,DF,Genoa,34,1983,20.0,0,7,0,0.0,0.35,0.00,0.00,,9.2,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,9a560ebe
486,Marco Sportiello,it ITA,GK,Fiorentina,25,1992,35.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ac4003af
487,Mariusz Stępiński,pl POL,FW,Chievo,22,1995,7.9,5,19,8,42.1,2.40,1.01,0.26,0.63,15.6,0,0,0,2.2,2.2,0.12,+2.8,+2.8,Matches,7b536033
488,Ognjen Stijepović,me MNE,FWMF,Sampdoria,17,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,80ad4216
489,Adrian Stoian,ro ROU,MFFW,Crotone,26,1991,23.7,2,20,6,30.0,0.84,0.25,0.10,0.33,21.7,0,0,0,1.6,1.0,0.05,+0.4,+1.0,Matches,4468b31a
490,Thomas Strakosha,al ALB,GK,Lazio,22,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,339fe0e8
491,Ivan Strinić,hr CRO,DF,Sampdoria,30,1987,13.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,52e2ef8f
492,Kevin Strootman,nl NED,MF,Roma,27,1990,25.1,1,20,7,35.0,0.80,0.28,0.05,0.14,16.0,0,0,0,2.7,2.7,0.14,-1.7,-1.7,Matches,ef2e5e1a
493,Jens Stryger Larsen,dk DEN,DF,Udinese,26,1991,28.1,1,19,5,26.3,0.68,0.18,0.05,0.20,16.6,1,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,f91e81c9
494,Stefano Sturaro,it ITA,MFDF,Juventus,24,1993,6.8,0,5,1,20.0,0.73,0.15,0.00,0.00,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,2334478a
495,Suso,es ESP,FWMF,Milan,23,1993,31.4,6,94,37,39.4,2.99,1.18,0.06,0.16,24.3,12,0,0,4.3,4.3,0.05,+1.7,+1.7,Matches,4e219ad2
496,Wojciech Szczęsny,pl POL,GK,Juventus,27,1990,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01b8a2b2
497,Adel Taarabt,ma MAR,FWMF,Genoa,28,1989,17.9,2,33,11,33.3,1.84,0.61,0.06,0.18,21.2,0,0,0,1.5,1.5,0.05,+0.5,+0.5,Matches,47dc80f5
498,Saphir Taïder,dz ALG,MF,Bologna,25,1992,4.3,0,3,1,33.3,0.70,0.23,0.00,0.00,13.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,a12d0c05
499,Cyril Théréau,fr FRA,FWMF,Udinese,34,1983,2.0,2,2,1,50.0,1.00,0.50,0.50,1.00,29.2,1,1,1,0.9,0.1,0.06,+1.1,+0.9,Matches,4d3ab428
500,Cyril Théréau,fr FRA,FWMF,Fiorentina,34,1983,12.4,5,28,9,32.1,2.27,0.73,0.07,0.22,20.3,0,3,3,5.6,3.3,0.12,-0.6,-1.3,Matches,4d3ab428
501,Rafael Tolói,it ITA,DF,Atalanta,26,1990,27.2,1,20,5,25.0,0.74,0.18,0.05,0.20,12.9,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches,c56dc39e
502,Nenad Tomović,rs SRB,DF,Fiorentina,29,1987,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6aafdc27
503,Nenad Tomović,rs SRB,DF,Chievo,29,1987,25.6,0,15,2,13.3,0.59,0.08,0.00,0.00,9.8,0,0,0,2.1,2.1,0.14,-2.1,-2.1,Matches,6aafdc27
504,Lorenzo Tonelli,it ITA,DF,Napoli,27,1990,3.9,1,3,2,66.7,0.77,0.51,0.33,0.50,11.2,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,8cc29864
505,Aleksandar Tonev,bg BUL,FWMF,Crotone,27,1990,4.5,0,10,3,30.0,2.24,0.67,0.00,0.00,25.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,c15d1af9
