,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
341,Vanja Milinković-Savić,rs SRB,GK,Torino,20,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,9fa26bc2
342,Miranda,br BRA,DF,Inter,32,1984,30.3,48,37,38,10,0,22,25,88.0,3,30,23,7,38,86,131,2,Matches,314f2124
343,Antonio Mirante,it ITA,GK,Bologna,34,1983,33.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,11,5,Matches,30223b33
344,Simone Missiroli,it ITA,MF,Sassuolo,31,1986,32.4,62,37,25,31,6,14,72,19.4,58,46,8,38,67,129,70,0,Matches,331c0a43
345,Cristian Molinaro,it ITA,DF,Torino,34,1983,17.4,37,29,19,14,4,11,18,61.1,7,15,4,11,22,59,70,1,Matches,1c8c5aed
346,Riccardo Montolivo,it ITA,MF,Milan,32,1985,12.1,29,21,11,15,3,7,24,29.2,17,17,4,13,19,48,15,0,Matches,b746d309
347,Luca Mora,it ITA,MF,SPAL,29,1988,10.4,19,17,6,8,5,5,17,29.4,12,9,3,6,4,23,20,0,Matches,42fff925
348,Héctor Moreno,mx MEX,DF,Roma,29,1988,2.6,2,2,1,1,0,0,1,0.0,1,1,1,0,3,5,5,0,Matches,5d311e8d
349,Emiliano Moretti,it ITA,DF,Torino,36,1981,19.8,31,18,25,6,0,14,16,87.5,2,30,23,7,21,52,77,2,Matches,55667895
350,Alessandro Murgia,it ITA,MF,Lazio,20,1996,8.6,19,12,9,9,1,5,19,26.3,14,14,3,11,17,36,13,0,Matches,fb2c533b
351,Nicola Murru,it ITA,DF,Sampdoria,22,1994,16.1,40,31,18,18,4,24,38,63.2,14,29,4,25,17,57,60,1,Matches,d183e9d6
352,Mateo Musacchio,ar ARG,DF,Milan,26,1990,13.4,22,15,13,7,2,8,16,50.0,8,9,3,6,12,34,58,1,Matches,91899ca8
353,Yuto Nagatomo,jp JPN,DF,Inter,30,1986,8.8,10,6,4,5,1,5,14,35.7,9,8,3,5,10,20,28,0,Matches,4b6960d2
354,Ádám Nagy,hu HUN,MF,Bologna,22,1995,7.9,16,9,6,8,2,7,13,53.8,6,11,0,11,7,23,5,0,Matches,788b31e2
355,Radja Nainggolan,be BEL,MF,Roma,29,1988,29.0,49,36,14,28,7,9,33,27.3,24,18,1,17,18,67,31,1,Matches,1f9328da
356,Andrea Nalini,it ITA,FWMF,Crotone,27,1990,18.2,43,32,22,16,5,16,25,64.0,9,25,2,23,15,58,19,1,Matches,65c75ea8
357,Nani,pt POR,FWMF,Lazio,30,1986,4.3,9,6,2,2,5,3,9,33.3,6,8,0,8,2,11,0,0,Matches,15e9c7e6
358,M'Baye Niang,sn SEN,FW,Torino,22,1994,17.0,29,23,11,9,9,6,18,33.3,12,17,3,14,13,42,15,0,Matches,2054d037
359,Nicolas Nkoulou,cm CMR,DF,Torino,27,1990,36.2,56,40,40,15,1,22,33,66.7,11,44,22,22,57,113,163,1,Matches,93cf32a8
360,Bram Nuytinck,nl NED,DF,Udinese,27,1990,26.2,65,41,40,24,1,25,39,64.1,14,43,24,19,37,102,124,1,Matches,e33f36d5
361,Simeon Nwankwo,ng NGA,FW,Crotone,25,1992,13.5,12,9,1,5,6,1,12,8.3,11,16,3,13,1,13,20,0,Matches,80dbbd10
362,Joel Obi,ng NGA,MF,Torino,26,1991,13.9,45,25,20,20,5,8,26,30.8,18,17,3,14,24,69,15,0,Matches,614c38fb
363,Marios Oikonomou,gr GRE,DF,SPAL,24,1992,1.9,5,3,4,1,0,0,2,0.0,2,0,0,0,4,9,12,0,Matches,3b9858f5
364,Orji Okwonkwo,ng NGA,FWMF,Bologna,19,1998,2.9,9,3,6,3,0,1,4,25.0,3,2,0,2,1,10,1,0,Matches,905a4f61
365,Maximiliano Olivera,uy URU,DF,Fiorentina,25,1992,4.6,12,9,5,4,3,3,8,37.5,5,4,1,3,11,23,11,0,Matches,32a33c68
366,Stephane Omeonga,be BEL,MFDF,Genoa,21,1996,8.9,25,15,16,8,1,7,18,38.9,11,20,1,19,5,30,6,0,Matches,72c803a0
367,Riccardo Orsolini,it ITA,FWDF,Bologna,20,1997,3.8,5,5,4,1,0,1,5,20.0,4,2,1,1,3,8,4,0,Matches,e14ec482
368,Riccardo Orsolini,it ITA,MFFW,Atalanta,20,1997,1.4,3,2,3,0,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches,e14ec482
369,Adam Ounas,dz ALG,FW,Napoli,20,1996,1.1,4,3,0,2,2,1,4,25.0,3,2,0,2,0,4,2,0,Matches,ed90babd
370,Simone Padoin,it ITA,DFMF,Cagliari,33,1984,34.5,22,18,8,10,4,12,28,42.9,16,38,14,24,24,46,74,0,Matches,5eb72339
371,Rodrigo Palacio,ar ARG,FWMF,Bologna,35,1982,22.9,25,18,6,12,7,10,28,35.7,18,16,2,14,12,37,14,0,Matches,8d8178ac
372,Raffaele Palladino,it ITA,MFFW,Genoa,33,1984,2.6,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches,961a4174
373,Emerson Palmieri,it ITA,DF,Roma,22,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e0bc6fdc
374,Simone Palombi,it ITA,FW,Lazio,21,1996,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,d0e6399c
375,Alberto Paloschi,it ITA,FW,SPAL,27,1990,24.3,10,7,0,9,1,0,10,0.0,10,2,1,1,4,14,11,0,Matches,b5cae4e6
376,Goran Pandev,mk MKD,FWMF,Genoa,34,1983,20.0,10,9,3,6,1,2,13,15.4,11,8,0,8,4,14,5,0,Matches,d711d04f
377,Vittorio Parigini,it ITA,MFFW,Benevento,21,1996,9.5,18,11,11,6,1,6,17,35.3,11,8,1,7,5,23,1,0,Matches,75efed2e
378,Marco Parolo,it ITA,MF,Lazio,32,1985,29.0,70,37,27,36,7,14,58,24.1,44,49,8,41,43,113,64,0,Matches,ed5886d2
379,Patric,es ESP,DF,Lazio,24,1993,6.6,11,6,8,2,1,4,6,66.7,2,3,0,3,3,14,32,0,Matches,f7223718
380,Daniel Pavlović,ba BIH,DF,Crotone,29,1988,8.4,10,5,9,0,1,5,10,50.0,5,4,3,1,5,15,22,0,Matches,47146acb
381,Daniel Pavlović,ba BIH,DF,Sampdoria,29,1988,1.0,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,5,0,Matches,47146acb
382,Leonardo Pavoletti,it ITA,FW,Cagliari,28,1988,30.2,27,13,5,14,8,2,21,9.5,19,13,5,8,13,40,28,0,Matches,d37b0350
383,Giampaolo Pazzini,it ITA,FW,Hellas Verona,32,1984,11.0,0,0,0,0,0,0,4,0.0,4,2,0,2,1,1,13,0,Matches,6ca663b4
384,João Pedro,it ITA,MFFW,Cagliari,25,1992,18.4,15,9,4,9,2,0,12,0.0,12,9,1,8,11,26,24,0,Matches,81255c03
385,Gianluca Pegolo,it ITA,GK,Sassuolo,36,1981,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,f058ed1f
386,Pietro Pellegri,it ITA,FW,Genoa,16,2001,3.1,1,0,0,0,1,0,5,0.0,5,3,0,3,2,3,1,0,Matches,a44d3a3c
387,Lorenzo Pellegrini,it ITA,MF,Roma,21,1996,20.0,36,20,16,11,9,10,35,28.6,25,21,2,19,41,77,21,1,Matches,4a5a45c7
388,Sergio Pellissier,it ITA,FW,Chievo,38,1979,6.2,6,2,1,3,2,1,3,33.3,2,3,0,3,1,7,2,0,Matches,878ee034
389,Federico Peluso,it ITA,DF,Sassuolo,33,1984,28.8,46,34,29,13,4,14,26,53.8,12,39,13,26,40,86,132,1,Matches,4f2908e5
390,Pedro Pereira,pt POR,DF,Genoa,19,1998,4.2,5,4,2,1,2,3,5,60.0,2,5,2,3,5,10,15,0,Matches,c77be0cf
391,Bruno Peres,br BRA,DF,Roma,27,1990,12.8,26,17,16,7,3,10,23,43.5,13,9,2,7,22,48,28,1,Matches,852351df
392,Stipe Perica,hr CRO,FW,Udinese,22,1995,10.5,8,5,2,5,1,2,13,15.4,11,7,1,6,3,11,9,0,Matches,269b4638
393,Mattia Perin,it ITA,GK,Genoa,24,1992,37.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,14,2,Matches,4c62d0c8
394,Ivan Perišić,hr CRO,FW,Inter,28,1989,36.8,47,31,15,23,9,8,56,14.3,48,47,6,41,45,92,62,0,Matches,6fe90922
395,Diego Perotti,ar ARG,FWMF,Roma,29,1988,17.9,25,17,6,14,5,8,20,40.0,12,19,0,19,11,36,13,0,Matches,a40d5a0c
396,Andrea Petagna,it ITA,FW,Atalanta,22,1995,18.0,8,3,2,4,2,1,11,9.1,10,14,3,11,4,12,5,0,Matches,03f946ed
397,Bruno Petković,hr CRO,FW,Hellas Verona,22,1994,10.2,14,12,3,8,3,6,13,46.2,7,11,1,10,7,21,12,0,Matches,24228180
398,Bruno Petković,hr CRO,FWMF,Bologna,22,1994,3.7,7,6,0,5,2,1,1,100.0,0,3,0,3,4,11,5,0,Matches,24228180
399,Germán Pezzella,ar ARG,DF,Fiorentina,26,1991,33.1,63,47,42,19,2,19,41,46.3,22,33,16,17,63,126,185,1,Matches,8c725b43
400,Giuseppe Pezzella,it ITA,DFFW,Udinese,19,1997,10.0,19,11,10,4,5,7,19,36.8,12,8,1,7,6,25,32,0,Matches,149c5f5d
401,Nicholas Pierini,it ITA,MFFW,Sassuolo,18,1998,0.5,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,Matches,7cc89a5f
402,Andrea Pinamonti,it ITA,FW,Inter,18,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,08aa9cd1
403,Carlo Pinsoglio,it ITA,GK,Juventus,27,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,f6a06749
404,Fabio Pisacane,it ITA,DF,Cagliari,31,1986,21.4,52,39,36,13,3,15,41,36.6,26,29,16,13,38,90,105,1,Matches,56400c01
405,Miralem Pjanić,ba BIH,MF,Juventus,27,1990,27.6,36,30,13,18,5,13,51,25.5,38,25,5,20,64,100,27,2,Matches,ad6df2d5
406,Andrea Poli,it ITA,MF,Bologna,27,1989,28.3,66,53,33,27,6,18,64,28.1,46,55,3,52,43,109,27,0,Matches,b3fd7075
407,Matteo Politano,it ITA,FW,Sassuolo,23,1993,31.2,23,16,8,10,5,3,32,9.4,29,13,2,11,14,37,13,0,Matches,5e861944
408,Simone Pontisso,it ITA,MF,Udinese,20,1997,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,8a2d3fdb
409,Dennis Praet,be BEL,MF,Sampdoria,23,1994,29.5,85,57,34,36,15,38,73,52.1,35,49,1,48,37,122,22,0,Matches,86695068
410,Manuel Pucciarelli,it ITA,FWMF,Chievo,26,1991,15.3,23,14,3,11,9,8,21,38.1,13,15,0,15,7,30,4,0,Matches,a1c7b425
411,Christian Puggioni,it ITA,GK,Benevento,36,1981,13.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches,b39dfab0
412,Christian Puggioni,it ITA,GK,Sampdoria,36,1981,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches,b39dfab0
413,Erick Pulgar,cl CHI,MF,Bologna,23,1994,30.8,70,48,41,29,0,24,75,32.0,51,49,13,36,46,116,83,1,Matches,4611e028
414,George Pușcaș,ro ROU,FWMF,Benevento,21,1996,7.8,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,13,0,Matches,c23c8e0d
415,Fabio Quagliarella,it ITA,FW,Sampdoria,34,1983,30.2,11,9,1,3,7,2,25,8.0,23,34,0,34,7,18,23,0,Matches,ee4f2f3b
416,Ivan Radovanović,rs SRB,MF,Chievo,28,1988,34.9,55,35,30,22,3,18,48,37.5,30,39,16,23,47,102,107,1,Matches,023937a9
417,Ștefan Radu,ro ROU,DF,Lazio,30,1986,28.8,53,38,36,16,1,25,41,61.0,16,30,14,16,55,108,105,1,Matches,53de807a
418,Rafael,br BRA,GK,Cagliari,35,1982,8.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,Matches,dd06d56c
419,Rafinha,br BRA,MF,Inter,24,1993,11.6,14,9,1,10,3,3,16,18.8,13,15,0,15,7,21,9,0,Matches,0c2ac3cb
420,Antonino Ragusa,it ITA,FWMF,Sassuolo,27,1990,9.2,17,7,11,4,2,8,23,34.8,15,12,1,11,6,23,16,0,Matches,e967e202
421,Gastón Ramírez,uy URU,MF,Sampdoria,26,1990,24.6,33,20,4,15,14,9,56,16.1,47,30,3,27,18,51,24,0,Matches,2c851997
422,Andrea Ranocchia,it ITA,DF,Inter,29,1988,7.0,8,4,6,2,0,3,6,50.0,3,6,5,1,12,20,35,0,Matches,539230cf
423,Vasco Regini,it ITA,DF,Sampdoria,26,1990,12.0,13,7,11,0,2,6,11,54.5,5,14,7,7,11,24,68,0,Matches,339c6ed4
424,Pepe Reina,es ESP,GK,Napoli,34,1982,37.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,13,2,Matches,e358587b
425,Federico Ricci,it ITA,FW,Crotone,23,1994,10.2,25,18,9,10,6,9,28,32.1,19,14,0,14,11,36,5,0,Matches,524eb8c5
426,Federico Ricci,it ITA,MF,Genoa,23,1994,2.4,2,2,2,0,0,1,3,33.3,2,2,0,2,1,3,1,0,Matches,524eb8c5
427,Luca Rigoni,it ITA,MF,Genoa,32,1984,17.5,32,22,11,20,1,7,35,20.0,28,24,2,22,19,51,13,0,Matches,4dba2a97
428,Nicola Rigoni,it ITA,MF,Chievo,26,1990,10.4,29,20,15,12,2,9,26,34.6,17,8,3,5,11,40,22,1,Matches,e327bd76
429,Tomás Rincón,ve VEN,MF,Torino,29,1988,33.3,66,40,30,34,2,24,66,36.4,42,33,8,25,57,123,61,1,Matches,f1cfc209
430,Luca Rizzo,it ITA,MF,SPAL,25,1992,5.4,18,10,7,10,1,5,17,29.4,12,10,0,10,3,21,5,1,Matches,a3e4b724
431,Ricardo Rodríguez,ch SUI,DF,Milan,24,1992,33.4,48,29,24,18,6,18,28,64.3,10,36,6,30,33,81,93,3,Matches,7f78ad23
432,Marko Rog,hr CRO,MFFW,Napoli,22,1995,3.2,11,7,3,6,2,1,11,9.1,10,4,1,3,2,13,1,0,Matches,b6b2b820
433,Rogério,br BRA,DF,Sassuolo,19,1998,10.1,18,14,10,5,3,7,15,46.7,8,11,1,10,9,27,31,0,Matches,10e7f486
434,Marcus Rohdén,se SWE,MF,Crotone,26,1991,18.1,33,19,21,10,2,14,50,28.0,36,14,1,13,18,51,30,0,Matches,b5b27493
435,Filippo Romagna,it ITA,DF,Cagliari,20,1997,21.0,33,18,20,12,1,16,26,61.5,10,20,11,9,33,66,96,0,Matches,84594618
436,Alessio Romagnoli,it ITA,DF,Milan,22,1995,26.1,20,14,17,2,1,9,14,64.3,5,24,14,10,23,43,154,1,Matches,3ead85f9
437,Simone Romagnoli,it ITA,DF,Bologna,27,1990,6.2,12,9,10,2,0,4,9,44.4,5,12,8,4,7,19,41,2,Matches,09899de8
438,Aristóteles Romero,ve VEN,MFFW,Crotone,21,1995,1.0,11,7,7,4,0,3,5,60.0,2,3,0,3,5,16,0,0,Matches,9f069180
439,Rômulo,it ITA,MFDF,Hellas Verona,30,1987,35.2,58,44,23,29,6,13,54,24.1,41,29,2,27,43,101,41,0,Matches,07abb358
440,Marten de Roon,nl NED,MF,Atalanta,26,1991,28.6,77,50,27,44,6,29,82,35.4,53,40,5,35,46,123,36,0,Matches,2a1beb34
441,Aleandro Rosi,it ITA,DF,Genoa,30,1987,18.9,24,17,7,13,4,5,19,26.3,14,24,5,19,20,44,61,1,Matches,1b729ba2
442,Luca Rossettini,it ITA,DF,Genoa,32,1985,22.5,16,8,12,3,1,6,17,35.3,11,31,21,10,29,45,151,1,Matches,47a500ae
443,Francesco Rossi,it ITA,GK,Atalanta,26,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7b5f516f
444,Giuseppe Rossi,it ITA,FWMF,Genoa,30,1987,2.9,1,1,0,1,0,0,3,0.0,3,2,0,2,1,2,1,0,Matches,fe48a073
445,Daniele Rugani,it ITA,DF,Juventus,23,1994,21.5,18,12,11,5,2,7,13,53.8,6,18,14,4,20,38,87,1,Matches,14b8fcdf
446,Mário Rui,pt POR,DF,Napoli,26,1991,23.2,55,39,18,32,5,30,52,57.7,22,30,5,25,14,69,43,1,Matches,0b5a292a
447,Umar Sadiq,ng NGA,FW,Torino,20,1997,2.5,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,2,0,Matches,686cbe7d
448,Bacary Sagna,fr FRA,DF,Benevento,34,1983,10.6,9,7,5,3,1,1,7,14.3,6,9,2,7,20,29,28,0,Matches,6ef56efd
449,Jacopo Sala,it ITA,DF,Sampdoria,25,1991,11.0,17,10,12,4,1,4,10,40.0,6,9,1,8,8,25,28,2,Matches,da5a981b
450,Bartosz Salamon,pl POL,DF,SPAL,26,1991,19.2,28,22,21,7,0,12,21,57.1,9,24,18,6,58,86,148,0,Matches,9b30df1e
451,Eddie Salcedo,it ITA,FW,Genoa,15,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,0489bb30
452,Mario Sampirisi,it ITA,DF,Crotone,24,1992,24.4,44,32,29,12,3,13,22,59.1,9,27,14,13,43,87,116,2,Matches,cda2ec29
453,Carlos Sánchez,co COL,MFDF,Fiorentina,31,1986,4.1,7,6,2,5,0,4,6,66.7,2,3,1,2,8,15,10,0,Matches,50b51fac
454,Sandro,br BRA,MF,Benevento,28,1989,12.8,29,21,15,13,1,12,18,66.7,6,23,16,7,18,47,43,1,Matches,c1c2c925
455,Alex Sandro,br BRA,DF,Juventus,26,1991,23.5,57,31,33,17,7,20,39,51.3,19,21,1,20,30,87,45,0,Matches,0d82903c
456,Siriki Sanogo,ci CIV,MF,Benevento,15,2001,0.4,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,Matches,ff120e44
457,Davide Santon,it ITA,DF,Inter,26,1991,9.3,19,14,13,6,0,9,17,52.9,8,10,3,7,20,39,32,2,Matches,88c89891
458,Samir Santos,br BRA,DF,Udinese,22,1994,28.5,55,38,35,17,3,19,38,50.0,19,33,16,17,75,130,161,1,Matches,92b4758e
459,Antonio Santurro,do DOM,GK,Bologna,25,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,61228681
460,Riccardo Saponara,it ITA,MFFW,Fiorentina,25,1991,10.0,12,8,2,8,2,2,11,18.2,9,3,1,2,1,13,5,0,Matches,3bb7af3b
461,Marco Sau,it ITA,FWMF,Cagliari,29,1987,14.6,9,6,2,4,3,1,17,5.9,16,10,0,10,9,18,1,0,Matches,1ad1f50d
462,Gianluca Scamacca,it ITA,FWMF,Sassuolo,18,1999,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,8790f988
463,Pasquale Schiattarella,it ITA,MF,SPAL,30,1987,22.1,40,31,20,15,5,13,43,30.2,30,7,2,5,24,64,26,0,Matches,bd84fc61
464,Eros Schiavon,it ITA,MFDF,SPAL,34,1983,4.3,6,5,2,3,1,1,7,14.3,6,6,2,4,2,8,4,0,Matches,c4f97172
465,Patrik Schick,cz CZE,FWMF,Roma,21,1996,11.0,9,7,1,5,3,1,9,11.1,8,14,0,14,2,11,11,0,Matches,5d4f7d61
466,Simone Scuffet,it ITA,GK,Udinese,21,1996,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,Matches,41bd99ea
467,Stefano Sensi,it ITA,MF,Sassuolo,21,1995,11.6,17,13,11,6,0,9,22,40.9,13,16,3,13,22,39,10,1,Matches,b70bde8f
468,Luigi Sepe,it ITA,GK,Napoli,26,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,343f753a
469,Lee Seung-woo,kr KOR,MFFW,Hellas Verona,19,1998,4.0,3,2,0,1,2,0,6,0.0,6,1,0,1,2,5,0,0,Matches,0f22b650
470,Stephan El Shaarawy,it ITA,FW,Roma,24,1992,23.9,22,16,9,8,5,5,21,23.8,16,16,1,15,24,46,8,0,Matches,d3aaad90
471,André Silva,pt POR,FW,Milan,21,1995,10.4,5,4,1,0,4,2,7,28.6,5,10,1,9,4,9,6,0,Matches,3effaa34
472,Jonathan Silva,ar ARG,DF,Roma,23,1994,1.2,0,0,0,0,0,0,1,0.0,1,1,1,0,3,3,1,0,Matches,f2308b33
473,Matías Silvestre,ar ARG,DF,Sampdoria,32,1984,34.0,12,8,10,1,1,6,12,50.0,6,33,26,7,11,23,154,3,Matches,b6ca47a2
474,Marco Silvestri,it ITA,GK,Hellas Verona,26,1991,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,0d422df7
475,Giovanni Simeone,ar ARG,FW,Fiorentina,22,1995,33.3,32,23,9,17,6,8,40,20.0,32,27,1,26,12,44,32,0,Matches,343c0d52
476,Lorenco Šimić,hr CRO,DF,SPAL,21,1996,3.5,5,3,5,0,0,3,4,75.0,1,7,4,3,11,16,15,0,Matches,65e4dede
477,Stefan Simić,cz CZE,DF,Crotone,22,1995,6.2,13,8,11,2,0,10,11,90.9,1,6,3,3,10,23,44,0,Matches,b5365398
478,Salvatore Sirigu,it ITA,GK,Torino,30,1987,37.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,35,3,Matches,10dc46f0
479,Łukasz Skorupski,pl POL,GK,Roma,26,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,ab4449d6
480,Milan Škriniar,sk SVK,DF,Inter,22,1995,38.0,86,55,69,16,1,44,70,62.9,26,38,26,12,35,121,180,0,Matches,30f5ffa9
481,Stefano Sorrentino,it ITA,GK,Chievo,38,1979,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,23,3,Matches,048877f5
482,Samuel Souprayen,fr FRA,DF,Hellas Verona,28,1989,17.6,29,19,25,3,1,12,19,63.2,7,18,9,9,22,51,67,1,Matches,f7c9fcd6
483,Luca Sparandeo,it ITA,DF,Benevento,17,1999,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches,dfbb3234
484,Leonardo Spinazzola,it ITA,DF,Atalanta,24,1993,16.7,14,5,9,4,1,7,15,46.7,8,25,6,19,18,32,44,1,Matches,3626daea
485,Nicolás Spolli,ar ARG,DF,Genoa,34,1983,20.0,27,21,24,2,1,13,22,59.1,9,26,17,9,36,63,120,2,Matches,9a560ebe
486,Marco Sportiello,it ITA,GK,Fiorentina,25,1992,35.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,13,4,Matches,ac4003af
487,Mariusz Stępiński,pl POL,FW,Chievo,22,1995,7.9,9,5,4,4,1,2,10,20.0,8,5,1,4,4,13,5,0,Matches,7b536033
488,Ognjen Stijepović,me MNE,FWMF,Sampdoria,17,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,80ad4216
489,Adrian Stoian,ro ROU,MFFW,Crotone,26,1991,23.7,23,19,12,10,1,11,44,25.0,33,29,0,29,25,48,26,0,Matches,4468b31a
490,Thomas Strakosha,al ALB,GK,Lazio,22,1995,38.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,4,Matches,339fe0e8
491,Ivan Strinić,hr CRO,DF,Sampdoria,30,1987,13.9,35,24,22,12,1,17,38,44.7,21,21,2,19,22,57,46,2,Matches,52e2ef8f
492,Kevin Strootman,nl NED,MF,Roma,27,1990,25.1,57,38,19,24,14,15,46,32.6,31,27,3,24,27,84,21,0,Matches,ef2e5e1a
493,Jens Stryger Larsen,dk DEN,DF,Udinese,26,1991,28.1,36,27,25,10,1,21,39,53.8,18,35,14,21,31,67,82,2,Matches,f91e81c9
494,Stefano Sturaro,it ITA,MFDF,Juventus,24,1993,6.8,17,11,5,9,3,4,11,36.4,7,9,2,7,5,22,18,1,Matches,2334478a
495,Suso,es ESP,FWMF,Milan,23,1993,31.4,18,14,3,5,10,4,31,12.9,27,25,0,25,16,34,2,1,Matches,4e219ad2
496,Wojciech Szczęsny,pl POL,GK,Juventus,27,1990,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,01b8a2b2
497,Adel Taarabt,ma MAR,FWMF,Genoa,28,1989,17.9,18,11,5,11,2,7,16,43.8,9,13,3,10,12,30,7,0,Matches,47dc80f5
498,Saphir Taïder,dz ALG,MF,Bologna,25,1992,4.3,6,2,4,2,0,1,2,50.0,1,3,2,1,1,7,4,0,Matches,a12d0c05
499,Cyril Théréau,fr FRA,FWMF,Udinese,34,1983,2.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches,4d3ab428
500,Cyril Théréau,fr FRA,FWMF,Fiorentina,34,1983,12.4,11,6,3,6,2,7,19,36.8,12,13,0,13,8,19,9,0,Matches,4d3ab428
501,Rafael Tolói,it ITA,DF,Atalanta,26,1990,27.2,72,40,34,38,0,35,68,51.5,33,35,14,21,63,135,119,1,Matches,c56dc39e
502,Nenad Tomović,rs SRB,DF,Fiorentina,29,1987,1.5,2,1,1,1,0,0,2,0.0,2,0,0,0,3,5,5,1,Matches,6aafdc27
503,Nenad Tomović,rs SRB,DF,Chievo,29,1987,25.6,23,17,17,6,0,10,17,58.8,7,29,21,8,50,73,146,0,Matches,6aafdc27
504,Lorenzo Tonelli,it ITA,DF,Napoli,27,1990,3.9,7,1,4,3,0,5,9,55.6,4,2,1,1,7,14,10,0,Matches,8cc29864
505,Aleksandar Tonev,bg BUL,FWMF,Crotone,27,1990,4.5,5,3,1,2,2,0,1,0.0,1,4,1,3,1,6,6,0,Matches,c15d1af9
506,Vasilis Torosidis,gr GRE,DF,Bologna,32,1985,9.1,8,7,5,2,1,4,9,44.4,5,8,3,5,15,23,42,0,Matches,8ea2c099
507,Emanuele Torrasi,it ITA,MF,Milan,18,1999,0.1,,,,,,,,,,,,,,,,,Matches,16bc48f8
508,Lucas Torreira,uy URU,MF,Sampdoria,21,1996,35.3,101,73,36,57,8,30,77,39.0,47,52,17,35,72,173,36,1,Matches,52611641
509,Alin Toșca,ro ROU,DF,Benevento,25,1992,13.0,11,8,7,4,0,6,12,50.0,6,9,4,5,13,24,69,0,Matches,322ba2df
510,Marcello Trotta,it ITA,FW,Crotone,24,1992,25.1,39,21,12,18,9,10,55,18.2,45,22,2,20,14,53,20,0,Matches,acdad0aa
511,Marco Tumminello,it ITA,FW,Crotone,18,1998,2.3,2,2,0,1,1,0,2,0.0,2,2,0,2,0,2,0,0,Matches,5bdd44d8
512,Marco Tumminello,it ITA,FW,Roma,18,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5bdd44d8
513,Ľubomír Tupta,sk SVK,MFFW,Hellas Verona,19,1998,0.4,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,Matches,b02af64f
514,Cengiz Ünder,tr TUR,FW,Roma,20,1997,13.9,10,6,4,6,0,3,18,16.7,15,8,1,7,9,19,10,0,Matches,1880614f
515,Sauli Väisänen,fi FIN,DF,SPAL,23,1994,6.0,12,9,9,3,0,6,8,75.0,2,5,4,1,13,25,26,0,Matches,23214a49
516,Mirko Valdifiori,it ITA,MF,Torino,31,1986,6.9,13,9,5,7,1,2,11,18.2,9,3,1,2,6,19,9,0,Matches,c710f7d5
