,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
53,Medhi Benatia,ma MAR,DF,Juventus,30,1987,19.5,28,21,20,6,2,8,15,53.3,7,18,13,5,43,71,89,1,Matches,3b15ef2d
54,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,6.5,18,11,10,7,1,2,16,12.5,14,5,1,4,3,21,14,0,Matches,3b8674e6
55,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,25.5,31,17,9,16,6,11,65,16.9,54,23,0,23,17,48,14,1,Matches,53a0e358
56,Álex Berenguer,es ESP,FW,Torino,22,1995,11.6,18,15,7,8,3,5,17,29.4,12,22,3,19,10,28,13,0,Matches,dc1c2fce
57,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,27.6,63,47,30,28,5,31,53,58.5,22,33,8,25,30,93,98,2,Matches,61b3978f
58,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,3,Matches,ee833569
59,Federico Bernardeschi,it ITA,FWMF,Juventus,23,1994,9.4,8,5,4,3,1,1,7,14.3,6,9,0,9,11,19,18,1,Matches,ee93c1a9
60,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,32.2,85,53,40,38,7,21,63,33.3,42,46,12,34,46,131,37,1,Matches,c75b6a02
61,Daniel Bessa,it ITA,MFFW,Hellas Verona,24,1993,15.4,26,19,9,15,2,8,29,27.6,21,12,2,10,14,40,8,1,Matches,88895312
62,Daniel Bessa,it ITA,MF,Genoa,24,1993,4.9,6,6,2,2,2,0,1,0.0,1,7,0,7,3,9,6,0,Matches,88895312
63,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,1.4,3,1,3,0,0,1,3,33.3,2,3,2,1,2,5,8,0,Matches,b3a20f18
64,Lucas Biglia,ar ARG,MF,Milan,31,1986,22.7,59,36,28,26,5,22,61,36.1,39,49,12,37,28,87,51,1,Matches,5710a281
65,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,3.3,9,7,5,4,0,5,8,62.5,3,4,3,1,6,15,17,0,Matches,a3e1d20d
66,Davide Biondini,it ITA,MF,Sassuolo,34,1983,2.3,4,4,2,2,0,1,2,50.0,1,1,0,1,3,7,1,0,Matches,b4c3070a
67,Cristiano Biraghi,it ITA,DF,Fiorentina,24,1992,33.1,74,48,33,32,9,36,58,62.1,22,42,5,37,43,117,103,2,Matches,9e1577aa
68,Davide Biraschi,it ITA,DF,Genoa,23,1994,20.0,33,25,13,19,1,18,25,72.0,7,19,10,9,38,71,78,0,Matches,64cd167d
69,Valter Birsa,si SVN,MFFW,Chievo,30,1986,27.8,28,14,7,18,3,7,54,13.0,47,22,2,20,24,52,20,1,Matches,455a2b79
70,Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,12,4,Matches,32b9b5fa
71,Deian Boldor,ro ROU,DF,Hellas Verona,22,1995,1.0,3,2,3,0,0,2,3,66.7,1,5,2,3,3,6,11,0,Matches,9b7533de
72,Giacomo Bonaventura,it ITA,MF,Milan,27,1989,28.2,31,20,7,19,5,9,45,20.0,36,31,6,25,33,64,17,0,Matches,d995ed27
73,Federico Bonazzoli,it ITA,FWDF,SPAL,20,1997,2.0,1,0,0,1,0,0,0,,0,3,0,3,0,1,0,0,Matches,bf57eaab
74,Federico Bonazzoli,it ITA,FW,Sampdoria,20,1997,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,bf57eaab
75,Kevin Bonifazi,it ITA,DFMF,Torino,21,1996,4.5,11,7,6,5,0,4,6,66.7,2,7,5,2,13,24,15,0,Matches,fb77bfef
76,Leonardo Bonucci,it ITA,DF,Milan,30,1987,34.3,30,21,22,7,1,11,18,61.1,7,31,22,9,51,81,132,0,Matches,52ec54d0
77,Fabio Borini,it ITA,DFFW,Milan,26,1991,17.9,38,23,12,18,8,16,37,43.2,21,32,6,26,13,51,43,0,Matches,ef5b337e
78,Marco Borriello,it ITA,FW,SPAL,35,1982,8.6,4,2,2,1,1,0,1,0.0,1,1,0,1,1,5,6,0,Matches,a889ffc7
79,Lucas Boyé,ar ARG,FW,Torino,21,1996,1.7,9,8,5,3,1,1,3,33.3,2,5,0,5,2,11,2,0,Matches,d49f3e6b
80,Enrico Brignola,it ITA,MFFW,Benevento,18,1999,15.0,28,21,17,10,1,12,38,31.6,26,13,0,13,6,34,7,0,Matches,d0643f8f
81,Alberto Brignoli,it ITA,GK,Benevento,25,1991,12.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,3,Matches,6989550f
82,Petar Brlek,hr CRO,MF,Genoa,23,1994,2.6,9,7,4,5,0,3,7,42.9,4,0,0,0,1,10,3,0,Matches,4590c6e7
83,Marcelo Brozović,hr CRO,MF,Inter,24,1992,21.4,60,43,21,31,8,19,63,30.2,44,30,7,23,18,78,18,0,Matches,33b8d077
84,Marcel Büchel,li LIE,MF,Hellas Verona,26,1991,18.8,37,21,15,21,1,13,48,27.1,35,35,6,29,45,82,46,1,Matches,2edeb221
85,Ante Budimir,hr CRO,FW,Crotone,26,1991,17.6,28,20,4,16,8,2,20,10.0,18,20,3,17,7,35,27,0,Matches,8f3565b3
86,Gianluigi Buffon,it ITA,GK,Juventus,39,1978,20.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,2,Matches,e40d028b
87,Alessandro Buongiorno,it ITA,DF,Torino,18,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,4ae67f27
88,Nicolás Burdisso,ar ARG,DF,Torino,36,1981,23.0,20,11,13,7,0,7,11,63.6,4,23,14,9,30,50,124,3,Matches,9417f322
89,Leandro Cabrera,uy URU,DF,Crotone,26,1991,4.1,8,5,8,0,0,0,3,0.0,3,5,2,3,6,14,33,0,Matches,69cbc8b6
90,Fabrizio Cacciatore,it ITA,DF,Chievo,30,1986,31.9,34,27,20,9,5,15,30,50.0,15,33,11,22,38,72,99,3,Matches,00b0bb87
91,Martín Cáceres,uy URU,DF,Hellas Verona,30,1987,12.9,16,11,14,1,1,7,18,38.9,11,9,5,4,19,35,41,1,Matches,e94d79e3
92,Martín Cáceres,uy URU,DF,Lazio,30,1987,4.9,12,7,9,2,1,10,14,71.4,4,4,4,0,4,16,13,0,Matches,e94d79e3
93,Felipe Caicedo,ec ECU,FWMF,Lazio,28,1988,8.0,11,10,3,5,3,2,7,28.6,5,6,0,6,1,12,4,0,Matches,93b891d1
94,Davide Calabria,it ITA,DF,Milan,20,1996,17.4,64,50,33,24,7,21,41,51.2,20,19,4,15,33,97,82,1,Matches,2146785a
95,Mattia Caldara,it ITA,DF,Atalanta,23,1994,24.0,39,26,15,24,0,13,33,39.4,20,31,18,13,41,80,113,1,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,FWMF,Milan,23,1994,24.1,37,27,11,18,8,8,31,25.8,23,29,2,27,22,59,15,0,Matches,cd0fa27b
97,Fabrizio Caligara,it ITA,MF,Cagliari,17,2000,0.2,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,Matches,22ca11f1
98,José Callejón,es ESP,FW,Napoli,30,1987,36.0,33,27,15,14,4,10,47,21.3,37,42,5,37,22,55,31,0,Matches,78841da9
99,Simone Calvano,it ITA,MF,Hellas Verona,24,1993,7.2,13,12,4,9,0,3,16,18.8,13,10,4,6,15,28,14,1,Matches,9dabfcf5
100,João Cancelo,pt POR,DF,Inter,23,1994,20.6,42,29,27,11,4,17,42,40.5,25,15,2,13,35,77,51,0,Matches,bd6351cd
101,Antonio Candreva,it ITA,FW,Inter,30,1987,28.2,12,7,7,5,0,8,39,20.5,31,20,2,18,22,34,24,0,Matches,356c9002
102,Paolo Cannavaro,it ITA,DF,Sassuolo,36,1981,16.0,17,9,11,5,1,8,20,40.0,12,17,13,4,27,44,94,1,Matches,46ed55b6
103,Leonardo Capezzi,it ITA,MF,Sampdoria,22,1995,2.4,8,4,5,3,0,4,6,66.7,2,6,0,6,0,8,3,0,Matches,07ea0ef2
104,Elio Capradossi,it ITA,DF,Roma,21,1996,0.9,1,0,1,0,0,0,0,,0,2,2,0,2,3,13,0,Matches,174944a3
105,Gianluca Caprari,it ITA,FWMF,Sampdoria,24,1993,20.1,19,11,2,11,6,0,10,0.0,10,25,2,23,5,24,3,0,Matches,54e53b7e
106,Marco Capuano,it ITA,DF,Crotone,25,1991,15.6,20,10,14,6,0,5,15,33.3,10,19,13,6,28,48,93,0,Matches,616aea37
107,Marco Capuano,it ITA,DF,Cagliari,25,1991,7.7,13,9,6,7,0,4,8,50.0,4,7,2,5,6,19,23,1,Matches,616aea37
108,Antonio Caracciolo,it ITA,DF,Hellas Verona,27,1990,31.7,52,34,41,8,3,17,30,56.7,13,64,44,20,39,91,203,0,Matches,99d8fc35
109,Francesco Cassata,it ITA,MF,Sassuolo,20,1997,5.1,12,7,6,5,1,2,10,20.0,8,3,0,3,5,17,0,0,Matches,96960855
110,Timothy Castagne,be BEL,DF,Atalanta,21,1995,16.7,54,37,32,14,8,13,27,48.1,14,25,4,21,26,80,48,0,Matches,197640fd
111,Leandro Castán,br BRA,DF,Cagliari,30,1986,12.7,24,15,16,8,0,15,20,75.0,5,16,10,6,23,47,48,1,Matches,019f4d0d
112,Lucas Castro,ar ARG,MF,Chievo,28,1989,22.1,54,40,14,29,11,16,43,37.2,27,39,7,32,38,92,35,0,Matches,56b2957b
113,Danilo Cataldi,it ITA,MF,Benevento,22,1994,25.4,33,25,12,19,2,5,28,17.9,23,18,5,13,37,70,20,1,Matches,ba3d3bea
114,Federico Ceccherini,it ITA,DF,Crotone,25,1992,35.9,35,21,28,4,3,13,25,52.0,12,39,21,18,83,118,276,1,Matches,d9624b51
115,Ricardo Centurión,ar ARG,MFFW,Genoa,24,1993,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,fac896b0
116,Luca Ceppitelli,it ITA,DF,Cagliari,27,1989,24.7,45,33,31,12,2,16,34,47.1,18,33,21,12,50,95,156,0,Matches,7d50454d
117,Fabio Ceravolo,it ITA,FW,Benevento,30,1987,0.6,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches,4cc93246
118,Alessio Cerci,it ITA,FW,Hellas Verona,30,1987,18.2,15,10,7,3,5,4,16,25.0,12,4,0,4,4,19,8,0,Matches,5370cba7
119,Boštjan Cesar,si SVN,DF,Chievo,35,1982,6.1,4,3,3,1,0,3,4,75.0,1,6,4,2,3,7,40,0,Matches,c1d18f10
120,Damir Ceter,co COL,FW,Cagliari,19,1997,2.2,2,1,0,2,0,0,0,,0,3,0,3,0,2,1,0,Matches,eade5337
121,Raman Chibsah,gh GHA,MF,Benevento,24,1993,11.6,20,13,10,7,3,4,14,28.6,10,13,2,11,4,24,16,0,Matches,aa5a409a
122,Giorgio Chiellini,it ITA,DF,Juventus,32,1984,24.0,28,19,17,10,1,7,15,46.7,8,21,14,7,47,75,142,3,Matches,e85fb9b8
123,Federico Chiesa,it ITA,FWMF,Fiorentina,19,1997,33.5,62,41,22,22,18,16,54,29.6,38,34,1,33,18,80,16,0,Matches,b0f7e36c
124,Vlad Chiricheș,ro ROU,DF,Napoli,27,1989,6.5,8,4,7,1,0,2,5,40.0,3,2,1,1,16,24,19,1,Matches,c316607a
125,Amato Ciciretti,it ITA,MFFW,Benevento,23,1993,9.0,14,8,5,6,3,2,11,18.2,9,9,0,9,6,20,4,0,Matches,1ab0b878
126,Luca Cigarini,it ITA,MF,Cagliari,31,1986,22.5,42,30,16,25,1,18,64,28.1,46,32,5,27,42,84,27,1,Matches,ae64d449
127,Thiago Cionek,pl POL,DF,SPAL,31,1986,15.0,28,21,18,6,4,11,20,55.0,9,19,9,10,35,63,99,0,Matches,46f5c54d
128,Karamoko Cissé,gn GUI,FWMF,Benevento,28,1988,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,b39569c0
