Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Gervinho,Parma Calcio 1913,35," M(LR),FW  ",27(4),2282,7,4,1.8,0.8,1.6,0.4,0.6,1.3,2.4,6.67
Nicolas Nkoulou,Torino,32, D(C)  ,30(1),2692,1,0,0.3,0.1,0.3,0.8,0,0.3,0.4,6.67
Davide Biraschi,Genoa,28," D(CR),M(R)  ",22(2),1974,0,1,0.3,0.3,1.5,1,0,0.9,1,6.67
Rolando Mandragora,Udinese,25, DMC  ,24(2),2054,0,2,2.1,1.3,0.5,0.8,0,0.6,1,6.67
Dalbert,Fiorentina,29," D(L),DMC,M(L)  ",29(2),2492,0,5,0.6,1.2,0.5,1.1,0.1,0.7,1.1,6.66
Simone Zaza,Torino,31, FW  ,16(8),1639,6,1,2,0.5,0.4,1.4,0.4,1.1,3.4,6.66
Hans Hateboer,Atalanta,29," D(R),M(R)  ",25(7),2355,0,4,0.6,1.4,0.3,0.6,0.2,0.6,0.9,6.66
Federico Mattiello,Cagliari,27, M(LR)  ,9(9),955,0,1,0.4,0.4,0.6,1.3,0.1,0.7,0.8,6.66
Allan,Napoli,32, DMC  ,16(7),1281,2,1,0.5,0.7,0.8,1,0,0.7,1.3,6.66
Danilo,Juventus,31," D(CLR),DMC  ",16(6),1442,2,0,0.6,0.7,0.7,0.6,0.1,0.1,0.5,6.66
Morten Thorsby,Sampdoria,26, M(CLR)  ,21(3),1867,1,1,0.8,0.8,0.3,0.3,0.1,0.3,1,6.66
Rodrigo Becão,Udinese,27, D(C)  ,24(5),2212,1,1,0.2,0.1,0,0.9,0,0.2,0.4,6.66
Simone Missiroli,SPAL 2013,36, M(C)  ,31(3),2800,1,0,0.4,0.5,0.7,0.8,0,0.5,0.9,6.65
Lukasz Skorupski,Bologna,31, GK  ,37,3330,0,0,0,0,0,0.1,0,0,0,6.65
Nahitan Nández,Cagliari,27, M(CLR)  ,32(3),2932,2,3,0.7,1,1.1,1.4,0.2,1.1,1.3,6.65
Cristián Zapata,Genoa,36, D(C)  ,19(1),1717,1,0,0.6,0.3,0.3,0.6,0,0.1,0.4,6.64
Mert Müldür,Sassuolo,23, D(R)  ,13(11),1271,2,1,0.5,0.4,0.7,0.7,0,0.4,0.8,6.64
Milan Badelj,Fiorentina,34, M(C)  ,20(2),1593,1,0,0.7,1,0.9,0.9,0,0.8,0.9,6.64
Aaron Ramsey,Juventus,32, M(CLR)  ,11(13),1049,3,1,1.2,0.8,0.6,0.8,0.1,0.8,1.2,6.63
Marco Mancosu,Lecce,34, AM(C)  ,28(5),2445,14,2,2.5,0.9,0.6,0.5,0.3,0.6,1.7,6.63
Federico Bonazzoli,Sampdoria,25," AM(C),FW  ",7(12),743,6,0,2.3,0.6,0.5,1.8,0.2,0.5,0.9,6.63
Giulio Donati,Lecce,33," D(LR),M(R)  ",20,1762,1,0,0.5,1.3,0.5,1.5,0,0.5,0.8,6.63
