Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Haris Belkebla,Brest,29, DMC  ,18(8),1689,2,1.2,0.8,0.1,0.4,0.9,0.2,0,6.39
Adrien Hunou,Angers,29," AM(CLR),FW  ",22(2),1706,1.4,0.1,0.4,0,0.3,0.8,0,0,6.39
Lassine Sinayoko,Auxerre,23, AM(R)  ,14(10),1264,1.3,0.5,0.9,0,0.6,0.5,0,0,6.38
Moussa Dembélé,Lyon,26, FW  ,8(11),803,0.4,0.1,0.7,0,0.3,0.1,0,0,6.37
Yasser Larouci,Troyes,22," D(L),M(L)  ",14(7),1188,0.6,0.8,0.5,0,0.9,0.1,0,1,6.37
Erik Palmer-Brown,Troyes,25, D(C)  ,24(2),2114,1.2,0.7,0.7,0.5,4.4,0.3,0.7,1,6.37
Rayan Raveloson,Auxerre,26," D(C),DMC  ",15(7),1366,0.9,1.2,0.7,0.1,1.8,0.2,0.2,1,6.37
Pablo Rosario,Nice,26," D(C),DMC  ",10(10),1113,1.4,0.8,0.8,0.3,1,0.4,0.2,0,6.37
Mitchell van Bergen,Reims,23," AM(LR),FW  ",5(16),704,0.7,0.2,0.4,0,0.2,0.6,0.1,0,6.36
Oumar Gonzalez,AC Ajaccio,25, D(C)  ,20,1758,1.8,1.7,1.2,0.6,2.2,0.5,0.4,0,6.36
Ibrahima Koné,Lorient,23, FW  ,8(17),891,0.3,0.1,0.9,0,0.3,0.2,0,0,6.36
Mathieu Coutadeur,AC Ajaccio,36, M(C)  ,13(3),1165,0.8,0.8,0.2,0,0.8,0.3,0.1,0,6.36
Romain Hamouma,AC Ajaccio,35," M(CLR),FW  ",11(4),862,0.4,0.1,1,0,0.1,0.1,0,0,6.36
Thierno Baldé,Troyes,20," D(R),M(R)  ",18(3),1531,1.2,0.8,0.3,0.2,1.2,0.5,0.1,0,6.36
Jean-Eudes Aholou,Strasbourg,28, DMC  ,11(9),903,1.1,1,1.3,0,0.3,0.5,0,0,6.35
Amine Salama,Angers,22, FW  ,12(12),1228,0.5,0.4,0.3,0,0.1,0.4,0.1,0,6.35
Souleyman Doumbia,Angers,26," D(L),M(L)  ",19,1540,1.9,1,1.3,0.5,0.9,0.7,0.1,0,6.35
Moussa Diarra,Toulouse,22, D(CL)  ,10(9),1027,0.9,0.9,0.8,0.1,1.1,0.3,0.4,0,6.35
Riad Nouri,AC Ajaccio,37, M(LR)  ,12(10),1223,0.8,0.6,0.5,0,0.3,0.5,0,0,6.35
Dennis Appiah,Nantes,30," D(CLR),M(R)  ",9(6),796,1.4,0.7,1.1,0.1,1.1,1.1,0.3,0,6.34
Jérémie Bela,Clermont Foot,29, M(LR)  ,7(7),641,0.4,0.5,0.4,0,0.4,0,0.1,0,6.34
Khalil Fayad,Montpellier,18, DMC  ,5(12),507,1.6,0.2,0.8,0,0.2,0.3,0.1,0,6.33
Andreas Bruus,Troyes,24," D(R),M(R)  ",13(5),1195,0.6,0.8,0.5,0,0.7,0.2,0.1,0,6.33
Florent Ogier,Clermont Foot,33, D(C)  ,13(4),1212,1.2,0.6,0.6,0.4,2.2,0.8,0.6,0,6.33
Pierrick Capelle,Angers,35," D(L),M(CLR)  ",10(9),954,1.4,0.7,1.2,0,0.8,0.9,0.1,0,6.33
Habib Diarra,Strasbourg,19, M(C)  ,9(8),856,0.9,0.5,0.8,0,0.6,0.4,0.1,0,6.33
Mohamed Bayo,Lille,24, FW  ,5(13),472,0.1,0,0.6,0,0.1,0.5,0.1,0,6.33
Billal Brahimi,Nice,22, Forward  ,3(15),491,0.2,0.2,0.1,0,0,0.2,0,0,6.32
Warren Zaïre-Emery,PSG,17, Midfielder  ,3(11),385,0.6,0.5,0.2,0.1,0.1,0.8,0,0,6.32
Benoît Costil,Auxerre,35, GK  ,19,1710,0.1,0,0,0,0.5,0.1,0,0,6.32
Bonke Innocent,Lorient,27, DMC  ,10(9),913,1.3,0.9,1.4,0,1.2,0.9,0.2,0,6.31
Enzo Tchato Mbiayi,Montpellier,20, D(R)  ,10(8),948,1.2,0.3,0.6,0.1,1.4,0.3,0.1,0,6.31
Birger Meling,Rennes,28," D(LR),DMC  ",5(13),605,0.8,0.7,0.8,0.2,0.7,0.2,0.1,0,6.30
Gauthier Hein,Auxerre,26, AM(R)  ,12(11),1052,0.8,0.2,0.6,0,0.2,0.6,0,0,6.30
Julian Jeanvier,Auxerre,30, D(C)  ,15,1247,1.7,1.1,1.1,0.3,4.1,0.3,0.8,0,6.30
Cédric Hountondji,Angers,29, D(C)  ,26,2328,1.4,1.5,1.2,0.5,3.1,0.3,0.6,1,6.30
Abdallah Sima,Angers,21," AM(R),FW  ",14(8),1256,0.6,0.1,1.1,0,0.5,0.3,0,1,6.29
Valère Germain,Montpellier,32," AM(CLR),FW  ",5(19),623,0.3,0.3,0.3,0,0.5,0.3,0,0,6.28
Ibrahima Sissoko,Strasbourg,25," D(C),DMC  ",8(8),807,1.3,0.3,1.6,0.1,0.9,0.9,0.3,0,6.27
Gerzino Nyamsi,Strasbourg,26, D(C)  ,13,1064,1.2,0.6,1.7,0.8,3.4,0,0.8,0,6.26
M'Baye Niang,Auxerre,28," AM(LR),FW  ",13(7),1075,0.5,0.1,1.5,0,0.8,0.4,0.1,0,6.26
