Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Rayan Aït-Nouri,Wolves,21," D(L),M(L)  ",20(3),1828,2,0.7,32.8,76.7,1,1.2,0,6.96
Raphinha,Leeds,26," AM(LR),FW  ",34(1),2923,3,1.9,30.7,69.3,0.9,1.6,0.1,6.96
Richarlison,Everton,25," AM(CLR),FW  ",28(2),2528,5,1,17.5,63.4,0.2,0.3,0.1,6.96
Philippe Coutinho,Aston Villa,30, M(CLR)  ,16(3),1339,3,1.3,33.1,83.3,0.2,1.4,0.1,6.96
Thomas Partey,Arsenal,29," D(R),M(CR)  ",23(1),2032,1,0.7,50.2,85.6,0,3,0,6.96
Dwight McNeil,Burnley,23, AM(CLR)  ,35(3),3114,1,1.2,24.7,77.7,1.1,1.6,0.1,6.96
Sergio Reguilón,Tottenham,26," D(L),M(L)  ",22(3),1923,3,1.2,30.8,78.7,1,0.9,0,6.95
Rúben Dias,Man City,25, D(C)  ,27(2),2404,4,0.5,78.2,93.4,0,3.4,0,6.95
Marc Cucurella,Brighton,24," D(CL),M(L)  ",35,3092,1,1.2,54.3,82,0.8,1.5,0,6.94
Jamie Vardy,Leicester,36," AM(L),FW  ",20(5),1806,2,0.7,10,72.5,0.1,0.3,0.1,6.94
Adama Traoré,Wolves,27," M(CLR),FW  ",10(10),1065,0,0.9,14.9,77.9,0.5,0.5,0.1,6.94
Wilfred Ndidi,Leicester,26," D(C),DMC  ",18(1),1619,0,0.1,48.9,80.2,0,1.5,0,6.93
Cristian Romero,Tottenham,24, D(C)  ,21(1),1846,0,0.3,59.8,86.7,0,2.6,0,6.92
Hakim Ziyech,Chelsea,29, M(CLR)  ,14(9),1317,3,1.3,27.5,81.2,0.8,1,0,6.92
Ben Mee,Burnley,33, D(CL)  ,21,1840,0,0.2,35.8,70.4,0,4.2,0,6.92
Michail Antonio,West Ham,32," D(R),M(CLR),FW  ",34(2),2981,8,1.3,17.1,67.5,0.4,0.7,0.1,6.92
Aaron Wan-Bissaka,Man Utd,25," D(R),M(R)  ",20,1794,0,0.7,46.9,81,0.4,0.9,0,6.91
Matty Cash,Aston Villa,25," D(R),M(CLR)  ",38,3380,3,0.7,32.1,72.4,0.5,1.4,0,6.91
Martin Ødegaard,Arsenal,24, AM(CR)  ,32(4),2793,4,2.1,43.3,86,0.5,1.2,0.2,6.91
Andreas Christensen,Chelsea,26," D(C),DMC  ",17(2),1496,0,0.3,69.5,90,0.1,3.2,0.1,6.90
Aymeric Laporte,Man City,28, D(CL)  ,33,2836,0,0.3,88.5,94.8,0.1,4.3,0.1,6.90
