Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Samu Castillejo,AC Milan,28, AM(CLR)  ,12(16),1178,0,0.4,14.5,84,0.3,0.7,0,6.46
Gregoire Defrel,Sassuolo,31," AM(CR),FW  ",14(14),1335,3,0.7,14.5,88.1,0,0.2,0,6.46
Roberto Insigne,Benevento,28, AM(C)  ,17(13),1607,4,1.3,19.1,82,0.8,1.1,0,6.45
Giovanni Simeone,Cagliari,27," AM(R),FW  ",19(14),1744,2,0.4,10.2,75.4,0,0.1,0,6.45
Andreas Skov Olsen,Bologna,23, M(CR)  ,12(14),1178,2,0.8,18.2,82,0.6,0.3,0,6.45
Alessandro Tuia,Benevento,32, D(C)  ,19(8),1770,0,0.1,28.1,80,0,2.4,0,6.45
Lorenzo De Silvestri,Bologna,34," D(R),M(R)  ",25(4),2149,0,0.4,36.2,75.6,0.3,2.1,0,6.45
Juan Musso,Udinese,28, GK  ,35,3148,0,0,24.1,71.1,0,5.5,0,6.45
Marash Kumbulla,Roma,23, D(C)  ,14(7),1364,0,0.2,37.3,88.6,0,1.4,0,6.44
Pedro Obiang,Sassuolo,30, DMC  ,16(17),1465,1,0.4,27.5,89.1,0,0.8,0.1,6.44
Pasquale Schiattarella,Benevento,35," DMC,M(R)  ",26(3),2253,1,0.9,45.9,81.6,0.1,2.5,0.1,6.44
Matteo Lovato,Verona,23, D(C)  ,14(10),1384,0,0.2,26.2,78.8,0,1.5,0,6.44
Federico Bernardeschi,Juventus,29," M(CLR),FW  ",8(19),961,2,0.9,17.5,83.9,1,0.9,0,6.44
Mërgim Vojvoda,Torino,28," D(CR),M(LR)  ",17(7),1363,2,0.3,24.8,82.2,0.4,1,0,6.43
Carles Pérez,Roma,25," AM(CR),FW  ",6(15),762,1,0.7,13.1,82.6,0.4,0.4,0,6.43
Goran Pandev,Genoa,39," M(CR),FW  ",15(14),1405,3,0.5,14.9,77.4,0,0.5,0,6.43
Valerio Verre,Sampdoria,29," AM(CL),FW  ",12(15),999,3,0.7,18.7,72,0.2,0.9,0,6.43
Danilo D'Ambrosio,Inter,34," D(CLR),M(LR)  ",7(12),689,0,0.2,23.5,92.2,0.2,0.9,0,6.43
Lorenzo Montipò,Benevento,27, GK  ,37,3330,0,0,28.6,59.3,0,7.3,0,6.42
Emanuel Vignato,Bologna,22, AM(CL)  ,11(20),1193,4,0.8,20.3,77.9,0.5,0.7,0.1,6.42
Paolo Ghiglione,Genoa,26," D(R),M(R)  ",14(9),1360,4,0.8,19,69.3,1,0.9,0,6.42
Jens Stryger Larsen,Udinese,32," D(CLR),M(LR)  ",30(3),2647,0,0.3,32.5,80.5,0.2,1.4,0,6.42
Alfred Duncan,Cagliari,29, DMC  ,12(7),1067,1,0.5,30.6,82.1,0.1,1.9,0.1,6.41
Simone Zaza,Torino,31, FW  ,15(14),1485,0,0.4,10.8,72.8,0.1,0.3,0,6.41
Marlon Santos,Sassuolo,27, D(C)  ,19(5),1739,0,0,67.7,95.1,0,2.2,0,6.41
Kaan Ayhan,Sassuolo,28," D(CR),DMC  ",7(12),788,0,0,28.2,91,0,0.6,0,6.41
Edoardo Goldaniga,Genoa,29, D(CR)  ,19(6),1854,1,0.3,31.1,75.9,0.3,2,0,6.41
Lisandro Magallán,Crotone,29, D(C)  ,25(3),2185,2,0.3,38.1,81.3,0,2,0,6.40
Artur Ionita,Benevento,32, M(CR)  ,34(2),2847,0,0.4,20.1,78.4,0.1,0.6,0,6.40
Kevin Lasagna,Verona,30," AM(CL),FW  ",14(5),1270,0,0.6,13.4,70.2,0.1,0.3,0,6.40
Stefano Sensi,Inter,27, AM(C)  ,4(14),596,0,0.6,21.7,88,0.3,1.2,0,6.40
Gabriele Zappa,Cagliari,23," D(R),M(R)  ",27(7),2405,4,0.8,29.7,78.4,0.6,0.8,0,6.40
Gonzalo Escalante,Lazio,29, DMC  ,4(20),720,1,0.1,19.8,88.7,0,0.9,0,6.40
Martín Cáceres,Fiorentina,35," D(CLR),M(R)  ",26(3),2241,2,0.3,31.6,80.3,0.3,2.6,0,6.39
Pedro Pereira,Crotone,25," D(R),M(R)  ",29(6),2560,4,0.6,19.2,76.8,0.5,0.6,0,6.39
Përparim Hetemaj,Benevento,36, M(CL)  ,27(4),2221,2,0.5,26.2,78.7,0.2,1,0,6.38
Mohamed Fares,Lazio,27," D(L),M(L)  ",12(9),1138,1,0.7,19.7,80.7,0.7,0.7,0,6.38
Rade Krunic,AC Milan,29, M(CL)  ,5(20),706,2,0.3,10.6,86.8,0,0.2,0,6.38
Igor Julio,Fiorentina,25," D(C),M(L)  ",13(8),1164,0,0.1,37.2,89.6,0,1.9,0,6.37
Marco Parolo,Lazio,38, M(C)  ,7(11),648,2,0.2,19.5,83.2,0.1,1.2,0,6.37
Eddie Salcedo,Verona,21," AM(C),FW  ",7(14),750,0,0.2,11.4,70.7,0,0.1,0,6.37
Ahmad Benali,Crotone,31, AM(CR)  ,15(3),1219,1,0.8,41.7,86.1,0.5,1.7,0,6.37
Karol Linetty,Torino,28, M(CLR)  ,20(7),1838,0,0.6,26.5,82.8,0,1,0,6.36
Luigi Sepe,Parma Calcio 1913,31, GK  ,36,3240,0,0,34.9,76.8,0,10.1,0,6.36
Bryan Dabo,Benevento,31," D(R),M(CR)  ",12(13),1116,0,0.3,22,78.5,0.1,0.8,0,6.35
Jeremy Toljan,Sassuolo,28," D(LR),M(LR)  ",18(8),1495,1,0.5,29.3,90,0.3,0.7,0,6.34
Jens Petter Hauge,AC Milan,23, AM(CLR)  ,3(15),522,0,0.6,10.5,80.4,0,0.3,0,6.34
Roberto Piccoli,Spezia,22, FW  ,8(12),701,0,0.2,6.7,67.7,0,0,0,6.34
Luca Caldirola,Benevento,32, D(CL)  ,17(8),1570,0,0.2,31.3,84.7,0,2.2,0,6.33
Patric,Lazio,29," D(CR),M(R)  ",18(7),1600,1,0.4,46.8,87.5,0.2,3.8,0,6.32
Nahuel Estévez,Spezia,27, M(CR)  ,19(8),1772,3,1,30.2,80,0.7,1.7,0,6.32
Federico Barba,Benevento,29, D(CL)  ,31(1),2664,2,0.4,37,80,0.2,2,0,6.32
Ilija Nestorovski,Udinese,32, FW  ,4(18),690,1,0.6,8.1,71.3,0.1,0.2,0,6.32
Alberto Grassi,Parma Calcio 1913,28, DMC  ,13(10),1179,0,0.1,18.7,80.2,0,0.6,0,6.32
Jean-Daniel Akpa Akpro,Lazio,30," D(R),M(CLR)  ",6(26),1039,1,0.4,10.8,81.7,0,0.3,0,6.31
Marko Pjaca,Genoa,27," AM(CL),FW  ",15(20),1416,2,0.4,13.9,84.6,0,0.4,0,6.31
Riccardo Marchizza,Spezia,24, D(L)  ,17(7),1564,2,0.6,31.6,81.7,0.8,2,0,6.31
Milos Vulic,Crotone,26, M(C)  ,13(12),1307,1,0.8,21.8,79.8,0.3,0.5,0,6.31
Luca Vignali,Spezia,27, D(R)  ,19(2),1596,0,0.5,46.5,78.7,0.4,3.2,0,6.30
Daam Foulon,Benevento,23, D(L)  ,11(12),1021,1,0.2,14.8,75.9,0.2,0.4,0,6.30
Nikola Kalinic,Verona,35, FW  ,15(4),1074,0,0.4,11.9,69.5,0,0.2,0,6.29
Mehdi Léris,Sampdoria,24," DMC,M(LR)  ",3(17),375,0,0.4,9.9,79.8,0.2,0.3,0,6.29
Lorenzo Venuti,Fiorentina,27," D(CLR),M(LR)  ",21(7),1760,1,0.5,21.4,75.4,0.5,0.7,0,6.29
Alex Cordaz,Crotone,40, GK  ,36,3240,0,0,35.4,69.2,0,7.6,0,6.28
Mitchell Dijks,Bologna,30," D(L),M(L)  ",18(2),1492,0,0.3,30.3,79.4,0.2,0.7,0,6.28
José Callejón,Fiorentina,36," M(LR),FW  ",6(14),658,1,0.3,11.8,81.8,0.4,0.6,0,6.27
Federico Bonazzoli,Torino,25," AM(C),FW  ",4(16),552,2,0.2,7.7,83.8,0,0.6,0,6.27
Fernando Forestieri,Udinese,33," AM(CL),FW  ",3(16),539,1,0.4,9.5,80.6,0.2,0.2,0,6.27
Eljif Elmas,Napoli,23, M(CLR)  ,3(30),717,1,0.4,10.5,90.8,0.1,0.2,0,6.26
Vedat Muriqi,Lazio,28, FW  ,7(20),818,0,0.4,9.2,69,0,0.2,0,6.26
Salvatore Sirigu,Torino,36, GK  ,32,2880,0,0,28,67.3,0,6.7,0,6.26
Marco Sau,Benevento,35," AM(C),FW  ",9(15),782,2,0.8,9.5,74.4,0.5,0.1,0,6.26
Amadou Diawara,Roma,25, DMC  ,7(11),655,0,0.1,25.9,89.7,0,1.2,0.1,6.26
Ebrima Colley,Verona,23, AM(R)  ,4(19),721,0,0.3,10.5,75.1,0.1,0.1,0,6.24
Andrés Tello,Benevento,26, M(C)  ,3(15),402,0,0.1,9.2,73.5,0.2,0.4,0,6.24
Niccolò Zanellato,Crotone,24, M(C)  ,18(9),1638,1,0.3,27.8,80.2,0.1,1.2,0,6.23
Andrea Poli,Bologna,33, M(CL)  ,4(14),374,0,0.3,11.6,90.9,0.1,0.1,0,6.23
Alberto Cerri,Cagliari,26, FW  ,3(21),359,0,0.3,6,61.5,0,0.2,0,6.22
Daniel Bessa,Verona,30, AM(C)  ,4(14),604,2,0.8,15.7,87.9,0.2,0.6,0.1,6.22
Emmanuel Rivière,Crotone,33, FW  ,7(14),632,1,0.2,7,73.5,0,0.1,0,6.21
Christian Kouamé,Fiorentina,25," AM(LR),FW  ",9(24),982,1,0.4,9.6,72.6,0,0.1,0,6.21
Luca Marrone,Crotone,32," D(C),DMC  ",18(3),1589,0,0,48.5,87.5,0,2.2,0,6.21
Maxime Busi,Parma Calcio 1913,23," D(R),M(R)  ",11(13),1190,1,0.3,26.9,84.7,0.4,1.7,0,6.21
Vladimir Golemic,Crotone,31, D(C)  ,26(4),2338,0,0.2,43.1,85.5,0,2,0,6.19
Sebastiano Luperto,Crotone,26, D(C)  ,22(1),1886,0,0.3,43.9,81.9,0,1.9,0,6.19
Borja Valero,Fiorentina,38, M(CL)  ,4(16),481,0,0.1,14.6,91.4,0,0.6,0,6.18
Danilo Cataldi,Lazio,28, M(C)  ,4(15),561,0,0.3,20.7,86.3,0.4,0.7,0,6.17
Jacopo Petriccione,Crotone,28, M(C)  ,11(9),958,0,0.4,24.4,86.5,0.1,1.8,0.1,6.16
Valon Behrami,Genoa,37, M(C)  ,8(18),885,0,0.1,8.2,75.5,0,0.3,0,6.15
Andreas Pereira,Lazio,27, M(CLR)  ,3(23),527,2,0.5,8.9,76.6,0.3,0.7,0,6.13
Simon Sohm,Parma Calcio 1913,21, M(C)  ,8(10),894,0,0.2,23.3,84.5,0,0.8,0,6.12
Eduardo Henrique,Crotone,27, M(C)  ,8(10),921,0,0.3,21.8,82.2,0,0.4,0,6.05
Andrea Rispoli,Crotone,34," D(R),M(R)  ",5(14),649,0,0.5,12.8,72,0.4,0.4,0,6.02
