Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Tiago Tomás,Stuttgart,20," AM(CR),FW  ",11(6),865,3,0.8,11.4,61.9,0.5,0.2,0.1,6.49
Marcus Ingvartsen,Mainz,27," AM(CR),FW  ",10(7),825,0,0.3,11.8,65.2,0,0.1,0,6.49
Christoph Kramer,Borussia M.Gladbach,32, M(C)  ,22,1783,0,0.6,45.2,83.2,0.1,0.9,0,6.49
Amine Adli,Leverkusen,22," AM(CLR),FW  ",7(8),754,2,0.9,18.8,79.4,0.3,0.3,0.1,6.49
Kiliann Sildillia,Freiburg,20," D(R),M(R)  ",19(1),1627,2,0.4,36,74.1,0.2,1.3,0,6.49
Lukas Nmecha,Wolfsburg,24," AM(CR),FW  ",10(5),874,0,0.3,12.6,66.7,0.1,0.4,0,6.49
Ivan Ordets,Bochum,30, D(C)  ,17(2),1487,0,0.2,31,74.4,0,2,0,6.48
Kevin Trapp,Eintracht Frankfurt,32, GK  ,22,1980,0,0,22.6,61,0,3.5,0,6.47
Linton Maina,FC Koln,23," M(CLR),FW  ",17(5),1432,5,1.1,16.4,75.8,0.5,0.3,0,6.47
Silvan Widmer,Mainz,30," D(CR),M(R)  ",14(5),1225,0,0.5,24.7,73.6,0.1,1,0,6.46
Jan Thielmann,FC Koln,20," AM(CLR),FW  ",5(9),553,1,0.2,8.2,67,0.3,0.3,0,6.46
Naouirou Ahamada,Stuttgart,20, M(C)  ,17,1409,2,0.9,30.4,85.7,0.1,0.5,0.1,6.45
Mathys Tel,Bayern,17, Forward  ,1(13),274,0,0.4,8.9,81.5,0.1,0,0,6.45
Kevin Vogt,Hoffenheim,31," D(CR),M(C)  ",18,1472,0,0.1,57.4,89.6,0,4.8,0,6.44
Callum Hudson-Odoi,Leverkusen,22, M(CLR)  ,7(6),601,1,1,17.2,87.4,0.3,1.1,0.1,6.44
Simon Terodde,Schalke,35, FW  ,16(7),1334,0,0.6,10.6,67.2,0,0.2,0,6.44
Jens Stage,Werder Bremen,26, M(C)  ,12(10),1056,1,0.5,15.7,67.9,0.1,0.3,0,6.44
Maximilian Bauer,Augsburg,23, D(C)  ,12(5),1096,0,0.1,25.6,71.5,0,2.2,0,6.44
Elvis Rexhbecaj,Augsburg,25, M(C)  ,20,1687,0,0.4,29.5,66.9,0.1,1.1,0,6.43
Roland Sallai,Freiburg,25," AM(CLR),FW  ",7(6),634,0,0.7,14.1,78.7,0.5,0.2,0,6.43
Alexander Hack,Mainz,29, D(C)  ,14(4),1127,0,0.2,31.8,74.1,0.1,3.7,0,6.43
Carlos Gruezo,Augsburg,27, DMC  ,12(1),965,0,0.5,21,72.9,0,2.3,0.1,6.42
Mads Pedersen,Augsburg,26," D(L),M(CL)  ",12(6),1127,0,0.4,16.8,74.3,0.3,0.7,0,6.41
Alex Král,Schalke,24, DMC  ,15(3),1367,0,0.2,24.7,67.1,0.1,1.3,0.1,6.41
Josuha Guilavogui,Wolfsburg,32," D(C),M(C)  ",4(9),519,0,0.3,19.1,78.6,0,1.5,0,6.40
Denis Huseinbasic,FC Koln,21, AM(C)  ,7(7),625,1,0.3,15.1,80.2,0,0.4,0,6.40
Mitchel Bakker,Leverkusen,22," D(L),M(L)  ",12(6),1058,2,0.7,28.9,78.3,0.2,1.1,0.1,6.40
András Schäfer,Union Berlin,23, M(C)  ,9(4),759,0,0.2,16.7,75.1,0.1,0.2,0.1,6.40
Arne Maier,Augsburg,24, M(CR)  ,14(5),1195,0,0.9,20.7,72.8,0.5,0.8,0,6.40
Tobias Mohr,Schalke,27," D(L),M(CL)  ",8(5),737,2,1.2,23.1,66.3,0.8,2.7,0.1,6.39
Stanley Nsoki,Hoffenheim,23, D(CL)  ,12(2),1094,0,0.2,47.9,81.5,0,2.6,0,6.39
Marvin Schwäbe,FC Koln,27, GK  ,23,2070,0,0,37.9,78.7,0,5.3,0,6.38
Erhan Masovic,Bochum,24, D(C)  ,12(6),1214,0,0.4,28.8,81.1,0,1.7,0,6.38
Alexander Schwolow,Schalke,30, GK  ,17,1530,0,0.1,33.8,63.7,0,9.4,0,6.38
Gerrit Holtmann,Bochum,27," D(L),M(LR)  ",8(9),826,1,0.6,11.1,69.8,0.2,0.1,0,6.38
Paul Seguin,Union Berlin,27," D(R),DMC  ",3(13),505,3,0.6,15.1,69.7,0.5,0.4,0.2,6.38
Rubén Vargas,Augsburg,24," AM(CLR),FW  ",7(7),616,1,0.5,10.7,58.7,0.1,0.2,0,6.37
Kevin Paredes,Wolfsburg,19, M(L)  ,1(13),309,1,0.5,7.1,77.8,0.2,0.4,0,6.37
Fredrik Jensen,Augsburg,25," AM(CL),FW  ",7(10),788,1,0.8,12.6,57.9,0.3,0.9,0,6.37
Cristian Gamboa,Bochum,33," D(R),M(R)  ",15,1279,0,0.6,30.1,67,0.7,3.7,0,6.37
Romano Schmid,Werder Bremen,23, AM(CL)  ,11(7),1067,2,0.7,29.2,76.4,0.1,1.1,0.1,6.36
Florian Neuhaus,Borussia M.Gladbach,25, M(C)  ,6(7),599,0,0.6,19.1,77.4,0.1,0.5,0.2,6.36
Dominick Drexler,Schalke,32, AM(CLR)  ,12(6),1019,3,0.7,17.1,67.8,0.3,0.4,0,6.36
Amadou Haidara,RBL,25, M(CLR)  ,7(14),802,1,0.2,22.4,84.3,0,1,0,6.36
Ilia Gruev,Werder Bremen,22, DMC  ,13(8),1151,0,0.3,27.5,86.9,0.2,0.9,0,6.36
Filip Uremovic,Hertha Berlin,26, D(CR)  ,13(1),1121,0,0.1,33.3,80.5,0,1.1,0,6.35
Oliver Christensen,Hertha Berlin,23, GK  ,23,2070,0,0,31.4,61.5,0,6.9,0,6.35
Odilon Kossounou,Leverkusen,22, D(CR)  ,10(7),890,1,0.2,34.6,83.3,0.1,0.9,0,6.35
Ivan Sunjic,Hertha Berlin,26, DMC  ,12(5),967,0,0.2,20.5,75.6,0,1,0.1,6.34
Aymen Barkok,Mainz,24, AM(CR)  ,2(12),335,1,0.4,9.7,72.8,0.1,0.4,0.1,6.34
Pavel Kaderábek,Hoffenheim,30," D(R),M(LR)  ",10(9),1054,0,0.6,21.8,69.3,0.8,0.5,0,6.33
Iago,Augsburg,25," D(L),M(L)  ",14(2),1191,1,0.5,22.9,62.3,0.4,1.3,0,6.33
Angelo Stiller,Hoffenheim,21, DMC  ,3(11),424,1,0.2,16.4,77.4,0.1,0.8,0.1,6.32
Kevin Kampl,RBL,32, M(CLR)  ,10(9),805,1,0.2,30.5,90.3,0.1,1.2,0.1,6.32
Davie Selke,Hertha Berlin,28, FW  ,3(10),276,1,0.3,5.1,62.1,0,0,0,6.31
Rafael Borré,Eintracht Frankfurt,27, FW  ,4(18),543,2,0.5,10,74.7,0.1,0.3,0,6.31
Sebastian Polter,Schalke,31," AM(R),FW  ",4(10),458,2,0.4,7.8,56.9,0.1,0.1,0,6.30
Lee Buchanan,Werder Bremen,22," D(L),M(L)  ",1(13),282,0,0.2,9,74.6,0.1,0.9,0,6.29
Jordi Osei-Tutu,Bochum,24," D(R),M(LR)  ",6(12),651,0,0.2,7.7,70.5,0.2,0.3,0,6.29
Agustín Rogel,Hertha Berlin,25, D(C)  ,11(2),1013,1,0.1,33.9,76.2,0,2.3,0,6.29
Morten Thorsby,Union Berlin,26, M(CLR)  ,5(11),527,1,0.2,7.5,65.8,0.1,0.2,0,6.29
Sargis Adamyan,FC Koln,29," AM(CLR),FW  ",3(17),555,2,0.4,6.6,72.7,0.2,0.3,0.1,6.28
Sven Michel,Union Berlin,32," AM(L),FW  ",1(14),312,0,0.2,7.1,58.9,0.1,0.2,0,6.28
Sebastian Rudy,Hoffenheim,33," D(R),M(CR)  ",4(11),539,1,0.5,17.8,78.7,0.6,1,0,6.28
Thorgan Hazard,Borussia Dortmund,29," M(CLR),FW  ",2(12),455,0,0.8,18.6,80,0.4,0.5,0,6.28
Jean-Paul Boëtius,Hertha Berlin,28," AM(CL),FW  ",8(10),848,0,0.7,18.4,74.4,0.1,1.1,0,6.28
Enzo Millot,Stuttgart,20, Midfielder  ,3(10),365,0,0.4,11.5,83.9,0.1,0.1,0,6.27
Yussuf Poulsen,RBL,28," AM(R),FW  ",2(12),263,0,0.4,5.4,54.7,0,0.1,0.1,6.27
Simon Zoller,Bochum,31," AM(LR),FW  ",17(2),1285,1,0.4,14.4,66.4,0.1,0.6,0.1,6.26
Luca Kilian,FC Koln,23, D(C)  ,13,1099,0,0.2,51.3,86.2,0,2.3,0,6.24
Angelo Fulgini,Mainz,26," AM(CLR),FW  ",5(11),520,1,0.5,14.1,81.3,0.1,0.2,0,6.24
Yannik Keitel,Freiburg,23, DMC  ,5(11),440,2,0.2,11.4,82,0,0.7,0,6.24
Ryan Gravenberch,Bayern,20, DMC  ,1(13),294,0,0.3,13,89,0,0.4,0,6.24
Oliver Burke,Werder Bremen,25," AM(LR),FW  ",1(14),255,0,0.3,4.9,70.3,0,0,0,6.24
Kingsley Schindler,FC Koln,29," D(R),M(R),FW  ",4(15),683,0,0.2,13.8,66.8,0.1,0.6,0,6.23
Woo-Yeong Jeong,Freiburg,23," AM(CR),FW  ",4(15),593,1,0.3,11,79.9,0.2,0.2,0,6.23
Florian Müller,Stuttgart,25, GK  ,19,1710,0,0.1,33.3,78.7,0,6.3,0,6.21
Ondrej Duda,FC Koln,28," AM(C),FW  ",9(4),694,0,0.6,20.3,77.3,0.2,1.1,0,6.21
Luca Pfeiffer,Stuttgart,26, FW  ,6(10),658,0,0.8,11.9,63.7,0.1,0.4,0.1,6.20
Josha Vagnoman,Stuttgart,22," D(LR),M(R)  ",7(6),659,0,0.4,13.2,77.2,0.1,0.5,0,6.19
Lucas Alario,Eintracht Frankfurt,30, FW  ,2(13),256,0,0.1,4.3,67.2,0,0.1,0,6.18
Takuma Asano,Bochum,28," AM(CLR),FW  ",11(3),865,0,0.8,12.4,74.1,0.1,0.1,0.1,6.16
Juan Perea,Stuttgart,23, Forward  ,1(12),267,0,0.1,3.8,70,0.1,0.2,0,6.16
Patrick Osterhage,Bochum,23, M(C)  ,4(11),464,0,0.2,11.5,69.8,0.3,0.2,0,6.14
Silvère Ganvoula,Bochum,26, FW  ,0(15),224,0,0.3,5.4,55.6,0,0,0,6.14
Saidy Janko,Bochum,27," D(R),M(R)  ",9(5),786,0,0.1,17.1,72.8,0.1,1.2,0,6.10
Nils Petersen,Freiburg,34, FW  ,0(19),191,0,0.1,2.5,46.8,0,0.1,0,6.08
Danny Latza,Schalke,33, M(C)  ,4(9),454,0,0.1,15.8,82,0.2,0.3,0,6.07
Patrick Herrmann,Borussia M.Gladbach,32," M(LR),FW  ",0(17),138,0,0.2,4,73.5,0.2,0.1,0,6.04
