Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Bruno Fernandes,Man Utd,28, M(CLR)  ,35(1),3120,1.5,0.5,0.9,0.1,1.1,1.8,0,0,7.03
Trevoh Chalobah,Chelsea,23," D(CR),DMC  ",17(3),1451,2,1,1,0.3,2.1,0.4,0.3,0,7.03
James Ward-Prowse,Southampton,28, M(CR)  ,36,3217,1.1,1.1,0.6,0,1.1,1.4,0.4,0,7.01
N'Golo Kanté,Chelsea,31, DMC  ,21(5),1778,2.3,1.2,0.8,0,0.3,0.6,0.1,0,7.01
Fabinho,Liverpool,29," D(CR),DMC  ",26(3),2316,1.6,1.4,1.4,0.1,0.8,1.6,0.3,0,7.00
Christian Nørgaard,Brentford,28," D(C),DMC  ",35,3059,3.1,1.8,1.6,0.1,1.6,1.4,0.3,0,7.00
Riyad Mahrez,Man City,32," AM(CLR),FW  ",15(13),1493,0.4,0.2,0.4,0,0.1,0.5,0,0,7.00
Paul Pogba,Man Utd,29, M(CL)  ,16(4),1355,0.7,0.7,2,0.1,0.8,1.1,0,0,7.00
Yves Bissouma,Brighton,26, M(C)  ,25(1),2117,2.9,1.9,1.2,0,1.8,0.6,0.1,0,6.99
Wilfried Zaha,Crystal Palace,30," AM(LR),FW  ",31(2),2761,1.2,0.2,1.1,0,0.2,0.6,0,0,6.99
Ethan Pinnock,Brentford,29, D(C)  ,32,2698,1.6,1.4,0.3,0.6,4.6,0.4,0.3,0,6.97
James Tarkowski,Burnley,30, D(C)  ,35,3107,1.8,1.4,0.9,0.2,5.2,0.4,1.7,1,6.97
Tomás Soucek,West Ham,28, DMC  ,34(1),3062,1.9,1.5,1.1,0,2.8,1.1,0.4,0,6.97
Jorginho,Chelsea,31, DMC  ,26(3),2279,2.2,1.2,1,0,0.7,1.9,0.1,0,6.97
Rayan Aït-Nouri,Wolves,21," D(L),M(L)  ",20(3),1828,2.8,1,0.6,0.2,1.3,1,0.1,0,6.96
Raphinha,Leeds,26," AM(LR),FW  ",34(1),2923,1.5,0.8,1.1,0,0.7,1.4,0,0,6.96
Richarlison,Everton,25," AM(CLR),FW  ",28(2),2528,1.3,0.4,1.2,0,1.1,0.5,0.1,0,6.96
Philippe Coutinho,Aston Villa,30, M(CLR)  ,16(3),1339,0.9,0.4,0.4,0,0.2,0.8,0.1,0,6.96
Thomas Partey,Arsenal,29," D(R),M(CR)  ",23(1),2032,1.8,1,1.4,0,1.4,1.1,0.2,0,6.96
Dwight McNeil,Burnley,23, AM(CLR)  ,35(3),3114,2.1,0.9,0.4,0,0.6,1.1,0.3,0,6.96
