Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Konstantinos Manolas,Napoli,31, D(C)  ,27(3),2301,0,0,5,0,0.3,92.8,1.4,0,6.61
Emmanuel Gyasi,Spezia,29," M(LR),FW  ",32(5),2858,4,6,4,0,0.8,84.5,0.7,0,6.61
Gervinho,Parma Calcio 1913,35," M(LR),FW  ",25(2),2032,5,1,0,0,1.2,82.4,0,0,6.61
Tommaso Pobega,Spezia,23, M(C)  ,17(3),1243,6,0,6,0,1.1,77.3,0.9,1,6.61
Riccardo Sottil,Cagliari,23, AM(LR)  ,12(9),1191,2,1,3,0,1.2,81.3,0.1,0,6.60
Giacomo Raspadori,Sassuolo,23," AM(CL),FW  ",13(14),1230,6,0,1,0,0.9,82.6,0.1,2,6.60
Brahim Díaz,AC Milan,23, AM(CLR)  ,15(12),1236,4,3,2,0,1,87.1,0.1,1,6.60
Mikkel Damsgaard,Sampdoria,22, AM(CL)  ,18(17),1772,2,4,3,0,0.7,73.3,0.7,0,6.60
Arturo Vidal,Inter,35, M(CR)  ,14(9),1144,1,1,3,0,0.9,86.6,0.8,0,6.60
Nicola Sansone,Bologna,31," AM(LR),FW  ",11(15),1167,2,2,2,0,1.2,82.9,0.2,0,6.60
Yann Karamoh,Parma Calcio 1913,24," AM(CLR),FW  ",16(8),1302,2,1,3,0,0.9,80,0.4,1,6.60
Cristiano Biraghi,Fiorentina,30," D(L),M(L)  ",31(4),2809,1,5,8,0,0.7,75.7,0.3,1,6.60
Miguel Veloso,Verona,36, M(C)  ,15(6),1320,2,2,1,0,0.6,79.5,1.1,0,6.59
Pau López,Roma,28, GK  ,20(1),1816,0,0,0,0,0,76.8,0.1,0,6.59
Borja Mayoral,Roma,25, FW  ,18(13),1554,10,2,1,0,1.3,79.6,0.5,1,6.59
Pepe Reina,Lazio,40, GK  ,29,2610,0,0,1,0,0,80.2,0.1,0,6.59
Samir,Udinese,28, D(CL)  ,24(6),2209,1,0,6,0,0.4,88.1,1.7,0,6.58
Luca Ceppitelli,Cagliari,33, D(C)  ,16(3),1469,0,0,3,0,0.4,84.4,2.6,1,6.58
Koffi Djidji,Crotone,30, D(CL)  ,16(4),1522,1,0,4,0,0.2,82.6,1.4,0,6.58
Roberto Gagliardini,Inter,28, DMC  ,14(14),1228,3,2,2,0,0.6,87.4,0.7,2,6.58
Matteo Darmian,Inter,33," D(CLR),M(LR)  ",14(12),1161,3,3,4,0,0.3,83.9,0.5,1,6.58
Gonzalo Villar,Roma,24, DMC  ,21(12),1862,0,1,7,0,0.3,89.9,0.8,0,6.58
Matteo Pessina,Atalanta,25, AM(CR)  ,21(7),1657,2,2,2,0,0.8,84.4,0.7,0,6.57
Gianluca Lapadula,Benevento,33, FW  ,29(8),2576,8,2,2,0,2.1,70,0.9,1,6.57
Kevin Agudelo,Spezia,24," AM(CR),FW  ",14(15),1354,1,2,4,0,0.7,71.9,0.6,1,6.57
Bruno Alves,Parma Calcio 1913,41, D(C)  ,18(1),1631,1,0,3,0,0.5,85.8,2.3,0,6.57
