Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Youssouf Koné,Troyes,27," D(CL),M(L)  ",11(10),981,0,1,2,1,0.4,77.3,0.3,1,6.39
Jérémy Le Douaron,Brest,24," AM(L),FW  ",16(16),1446,5,3,0,0,1.1,73.5,1.2,1,6.39
Jean-Eudes Aholou,Strasbourg,28, DMC  ,11(14),1002,1,1,2,0,0.7,83,0.6,0,6.39
Sébastien Corchia,Nantes,32," D(R),M(R)  ",13(15),1319,0,3,0,1,0.4,74,0.6,0,6.39
Pierrick Capelle,Angers,35," D(L),M(CLR)  ",12(18),1187,0,1,2,0,0.6,82,0.6,0,6.39
Jim Allevinah,Clermont Foot,28, M(LR)  ,13(17),1481,1,2,1,0,1.4,81.1,0.6,0,6.38
Calvin Stengs,Nice,24, M(CR)  ,11(13),1071,1,1,1,0,0.9,76.4,0.1,0,6.38
Ibrahima Niane,Metz,23," AM(L),FW  ",20(6),1592,3,1,2,1,1.7,71.3,2.5,0,6.38
Vincent Manceau,Angers,33, D(CLR)  ,25(3),2359,0,0,0,1,0.1,88.6,0.6,0,6.38
Harold-Desty Moukoudi,Saint-Etienne,25, D(C)  ,17(7),1658,0,0,3,0,0.3,89,1.2,0,6.37
Marcus Coco,Nantes,26," M(LR),FW  ",9(15),925,1,1,1,1,0.5,74.6,1.3,0,6.37
Jimmy Giraudon,Troyes,31, D(C)  ,18(1),1620,0,0,3,1,0,85.6,0.9,0,6.36
Opa Nguette,Metz,28," AM(LR),FW  ",10(16),1043,2,2,1,0,0.9,74,0.8,0,6.36
Samuel Moutoussamy,Nantes,26, M(CL)  ,16(14),1503,0,1,5,0,0.5,85.3,0.3,0,6.36
Ricardo Mangas,Bordeaux,24," D(CL),M(L)  ",27(2),2357,3,1,2,0,0.6,78.9,0.9,0,6.35
Mauro Icardi,PSG,30, FW  ,10(14),1019,4,0,1,0,1.2,80.5,0.2,0,6.35
Yoann Touzghar,Troyes,36, FW  ,16(12),1462,4,0,0,0,1,80.3,0.9,0,6.35
Yvann Maçon,Saint-Etienne,24," D(LR),M(R)  ",19(3),1538,0,0,7,0,0.7,75.5,0.7,1,6.34
Ignatius Ganago,Lens,24," AM(LR),FW  ",11(17),1020,5,1,2,0,1.1,74.1,0.7,0,6.34
Timothée Pembélé,Bordeaux,20," D(R),M(R)  ",17(9),1421,1,1,3,0,0.7,73,0.4,0,6.34
Stéphane Bahoken,Angers,30, FW  ,12(17),1096,3,1,0,0,0.8,74.8,0.8,0,6.33
Momo Cho,Angers,19, FW  ,21(11),1847,4,1,2,2,1.3,75.3,0.5,1,6.33
Evann Guessand,Nice,21," AM(R),FW  ",2(18),424,1,2,3,0,0.6,68,0.6,0,6.32
Saîf-Eddine Khaoui,Clermont Foot,27, AM(CR)  ,9(14),926,1,0,1,0,0.8,77.2,0,0,6.32
Irvin Cardona,Brest,25," AM(L),FW  ",13(19),1333,4,2,2,0,0.8,68.4,0.4,0,6.32
Dylan Chambost,Troyes,25, M(C)  ,9(10),753,0,1,0,0,0.5,79.5,0.7,0,6.32
Dango Ouattara,Lorient,21, AM(LR)  ,7(18),802,1,2,4,0,1,65.3,0.8,0,6.31
M'Baye Niang,Bordeaux,28," AM(LR),FW  ",7(15),769,3,1,3,0,1.2,59.5,1.4,0,6.30
Mitchell van Bergen,Reims,23," AM(LR),FW  ",11(9),987,0,0,1,0,0.6,72.5,0.2,0,6.30
Angel Gomes,Lille,22," M(CL),FW  ",12(12),955,1,1,3,0,0.6,80.2,0.2,0,6.30
Deiver Machado,Lens,29, M(L)  ,5(17),513,0,1,1,0,0.1,85.3,0.3,0,6.29
Enzo Ebosse,Angers,23, D(C)  ,21(6),1888,0,0,1,0,0.1,85.1,0.9,0,6.29
Quentin Boisgard,Lorient,25, AM(CLR)  ,9(16),953,1,1,3,0,0.6,77.3,0.4,0,6.28
Paul Nardi,Lorient,28, GK  ,22,1980,0,0,1,0,0,49.1,0.1,0,6.28
Lucas Gourna-Douath,Saint-Etienne,19, DMC  ,20(11),1808,1,0,7,0,0.4,88.5,0.4,0,6.28
Igor Silva,Lorient,26," D(R),M(R)  ",17(11),1572,0,0,3,0,0.5,78.6,0.4,0,6.28
