Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Moussa Niakhaté,Mainz,27, D(CL)  , D(CL)  ,32,3,1,0.3,0.5,0.4,0.3,0.1,0.2,0.8,6.58
Suat Serdar,Schalke,25, M(CLR)  , M(CLR)  ,24(1),1,2,1.3,0.6,1.6,1.9,0,1.6,2.2,6.58
Karim Onisiwo,Mainz,30," AM(CLR),FW  "," AM(CLR),FW  ",19(12),4,0,1.7,0.6,1.2,1.1,0.5,1.4,2.6,6.57
Milot Rashica,Werder Bremen,26," AM(CLR),FW  "," AM(CLR),FW  ",14(10),3,1,1.8,0.8,1.5,0.9,0.2,1.3,2.2,6.57
Mark Uth,Schalke,31," AM(CR),FW  "," AM(CR),FW  ",18(2),3,1,1.8,1.2,0.9,1.4,0.5,1.1,2.5,6.56
Niklas Stark,Hertha Berlin,27," D(C),DMC  "," D(C),DMC  ",31(2),0,0,0.3,0.2,0.1,0.9,0.1,0.1,0.6,6.56
Jirí Pavlenka,Werder Bremen,30, GK  , GK  ,34,0,0,0,0,0,0.1,0,0,0,6.56
Marcel Hartel,Arminia Bielefeld,27, M(CL)  , M(CL)  ,20(2),0,0,1,0.7,0.8,0.7,0.2,0.7,1,6.56
Tuta,Eintracht Frankfurt,23, D(C)  , D(C)  ,16(3),0,0,0.2,0.2,0.4,0.7,0,0.5,0.7,6.56
Kevin Trapp,Eintracht Frankfurt,32, GK  , GK  ,33,0,0,0,0,0,0.1,0,0,0,6.55
Florian Niederlechner,Augsburg,32," AM(CR),FW  "," AM(CR),FW  ",21(7),5,4,1.7,0.5,0.6,1.5,0.8,0.7,1.2,6.55
Marco Friedl,Werder Bremen,24," D(CL),M(L)  "," D(CL),M(L)  ",31(1),0,0,0.3,0.3,0.4,0.9,0,0.2,0.5,6.55
Marius Wolf,FC Koln,27," D(R),M(CLR)  "," D(R),M(CLR)  ",29(2),2,2,1.3,0.7,1.2,1.8,0.2,1.5,1.7,6.55
