Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  ",34(2),3033,2,7,2,0,1.5,79.4,0.2,2,7.02
Wesley Fofana,Leicester,22, D(C)  ,27(1),2265,0,0,7,0,0.4,86.4,3.3,0,7.01
Declan Rice,West Ham,24," D(C),DMC  ",32,2880,2,1,2,0,0.8,88,1.4,1,7.01
Kalvin Phillips,Leeds,27," D(C),DMC  ",28(1),2431,1,2,10,0,0.5,84.7,1,1,7.01
James Maddison,Leicester,26, AM(CLR)  ,24(7),2105,8,5,4,0,2.4,83.3,0.1,2,7.00
Ben Chilwell,Chelsea,26," D(L),M(L)  ",27,2290,3,5,3,0,1,82,1.4,2,7.00
Emiliano Martínez,Aston Villa,30, GK  ,38,3420,0,0,1,0,0,62.5,0.3,3,7.00
André-Frank Zambo Anguissa,Fulham,27, M(C)  ,29(7),2587,0,3,6,0,0.9,84.2,1.8,4,6.99
Yves Bissouma,Brighton,26, M(C)  ,35(1),3114,1,0,8,1,1.2,87.4,1.1,0,6.98
Richarlison,Everton,25," AM(CLR),FW  ",33(1),2872,7,3,4,1,2.4,70,1.2,4,6.98
Harvey Barnes,Leicester,25, AM(CL)  ,22(3),1950,9,4,0,0,2.2,75.2,1,2,6.98
Jack Harrison,Leeds,26," AM(CLR),FW  ",34(2),2858,8,8,2,0,1.3,74,0.7,4,6.96
Matheus Pereira,West Brom,26, AM(CLR)  ,30(3),2582,11,6,2,1,2,79.6,0.4,2,6.96
Vladimír Coufal,West Ham,30," D(R),M(R)  ",34,3055,0,7,3,0,0.4,71.2,1.6,1,6.95
Pierre-Emile Højbjerg,Tottenham,27, M(C)  ,38,3420,2,4,9,0,0.4,88.5,1.2,1,6.95
Luke Ayling,Leeds,31," D(CR),M(R)  ",38,3400,0,0,7,0,0.6,79,1.7,0,6.94
Reece James,Chelsea,23," D(CR),DMC,M(R)  ",25(7),2367,1,2,3,0,1.1,88.4,1.3,1,6.94
Oriol Romeu,Southampton,31, DMC  ,20(1),1768,1,1,6,0,0.7,82.6,1.5,2,6.93
Matty Cash,Aston Villa,25," D(R),M(CLR)  ",28,2380,0,2,6,1,0.3,75.7,1.3,1,6.93
Scott McTominay,Man Utd,26," D(C),DMC  ",24(8),2128,4,1,3,0,0.8,87,1.5,0,6.93
Ben Mee,Burnley,33, D(CL)  ,30,2694,2,0,3,0,0.7,71.1,3.7,2,6.93
Fred,Man Utd,30, M(C)  ,27(3),2397,1,0,5,0,0.8,87.7,0.3,0,6.92
César Azpilicueta,Chelsea,33," D(CLR),M(R)  ",24(2),2191,1,2,5,1,0.4,86.9,2.1,1,6.92
Ademola Lookman,Fulham,25," AM(CLR),FW  ",31(3),2756,4,4,5,0,2,80.9,0.2,2,6.92
Michael Keane,Everton,30, D(CR)  ,33(2),2990,3,1,4,0,0.5,87.2,3.2,2,6.92
Rúben Dias,Man City,25, D(C)  ,32,2845,1,0,4,0,0.4,93.2,1.9,0,6.91
Thiago Silva,Chelsea,38, D(C)  ,23,1938,2,0,3,1,0.6,93,2,0,6.91
Illan Meslier,Leeds,23, GK  ,35,3150,0,0,0,0,0,77.1,0.6,3,6.91
Matt Targett,Aston Villa,27," D(L),M(L)  ",38,3405,0,2,7,0,0.2,78,1.9,0,6.90
Nélson Semedo,Wolves,29," D(LR),M(R)  ",34,2988,1,1,5,0,0.7,81,1.2,1,6.90
Diogo Jota,Liverpool,26," AM(CLR),FW  ",12(7),1113,9,0,2,0,2.4,74.9,0.7,0,6.89
Jannik Vestergaard,Southampton,30, D(C)  ,29(1),2575,3,0,3,1,0.8,83.6,3.3,1,6.89
Alexandre Lacazette,Arsenal,31," M(CLR),FW  ",22(9),1931,13,2,3,0,1.5,78.8,0.9,3,6.89
