Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Farid Boulaya,Metz,30," AM(CLR),FW  ",18(6),1534,2,1.3,27.3,71.2,0.9,2.3,0,6.54
Remi Oudin,Bordeaux,26," M(CLR),FW  ",20(13),1744,5,0.6,17.8,69.3,0.3,1.1,0.1,6.53
David Costa,Lens,22, AM(CL)  ,16(17),1463,5,1.2,22.7,84.5,0.1,0.5,0.1,6.53
Joris Chotard,Montpellier,21, DMC  ,33(3),2942,1,0.3,35,84.9,0.2,2.2,0,6.53
Lilian Brassier,Brest,23, D(CL)  ,23(8),2258,0,0.3,38.9,80.7,0,3.9,0,6.52
Amadou Onana,Lille,21, DMC  ,11(21),1352,0,0.5,19.3,83.3,0,1.1,0.1,6.52
Jean Lucas,Monaco,24, M(C)  ,18(10),1451,1,0.6,26.8,82.8,0.5,1.3,0.1,6.52
Thomas Foket,Reims,28," D(R),M(R)  ",26(3),2243,0,0.7,29.7,80.4,0.6,1.7,0,6.52
Fábio,Nantes,32," D(LR),M(R)  ",21(6),1679,2,0.4,23.4,73.2,0.3,1.2,0,6.52
Flavius Daniliuc,Nice,21, D(CR)  ,14(10),1291,0,0.1,32.9,88.7,0.1,1.4,0,6.52
Valère Germain,Montpellier,32," AM(CLR),FW  ",22(12),1978,3,0.6,13.8,77,0.1,0.2,0,6.51
Gaël Kakuta,Lens,31," M(CLR),FW  ",20(9),1685,2,0.7,23.2,73.9,0.4,0.7,0.1,6.51
Ismail Jakobs,Monaco,23," D(L),M(L)  ",10(18),1193,1,0.6,24.7,72.2,0.7,0.7,0,6.51
Vincent Le Goff,Lorient,33," D(L),M(L)  ",34,3060,1,0.8,42.4,79.5,0.5,2,0.1,6.51
Léo Pétrot,Lorient,25, D(C)  ,21(1),1820,0,0.1,43,82.9,0,3.2,0,6.50
Stian Gregersen,Bordeaux,27, D(C)  ,22(2),1955,1,0.1,37.3,85.1,0,2,0,6.50
Cédric Hountondji,Clermont Foot,29, D(C)  ,23,2035,0,0,42.8,84.8,0,1.4,0,6.50
Issa Kaboré,Troyes,21," D(R),M(R)  ",26(5),2261,1,0.6,22.5,76.6,0.9,0.7,0,6.50
Timothy Weah,Lille,23," D(L),M(LR),FW  ",17(12),1620,4,0.9,17.4,75.8,0.4,0.3,0,6.50
Pape Gueye,Marseille,24, DMC  ,17(11),1528,1,0.3,34.3,88.4,0,1.9,0,6.50
Jordan Lotomba,Nice,24," D(LR),M(R)  ",19(11),1782,0,0.5,26.3,82.7,0.4,0.9,0,6.49
Timothée Kolodziejczak,Saint-Etienne,31," D(CL),M(L)  ",30,2568,3,0.7,45.9,77.8,0.4,2.1,0.1,6.49
Arnaud Nordin,Saint-Etienne,24," AM(CLR),FW  ",20(16),1876,4,0.6,14,81.9,0.5,0.2,0,6.48
Lorenz Assignon,Rennes,22, D(R)  ,5(15),603,2,0.4,14.2,81.6,0.1,0.6,0,6.48
Pol Lirola,Marseille,25," D(R),M(LR)  ",19(15),1769,2,0.8,26.6,82.2,0.6,0.8,0,6.48
Elye Wahi,Montpellier,20," AM(L),FW  ",21(12),1770,2,0.4,7,68,0,0,0,6.48
Fabien Lemoine,Lorient,35, M(C)  ,13(8),1120,1,0.5,41.9,88.5,0.1,2.6,0,6.47
Dylan Bronn,Metz,27, D(C)  ,28(2),2545,2,0.1,38.1,81.3,0.1,2.5,0,6.47
Alexandre Oukidja,Metz,34, GK  ,21,1877,0,0,22,54.9,0,6.4,0,6.47
Serhou Guirassy,Rennes,26," AM(L),FW  ",7(30),1005,0,0.1,7.9,80.1,0,0.4,0,6.46
Dennis Appiah,Nantes,30," D(CLR),M(R)  ",22(10),2094,0,0.1,25.9,76.8,0.3,1.1,0,6.46
Osman Bukari,Nantes,24," M(R),FW  ",10(14),1008,4,0.8,11.6,77.1,0.1,0.1,0,6.46
Andreaw Gravillon,Reims,25, D(CR)  ,24(2),2141,0,0.4,32.7,76.7,0.3,2.6,0,6.45
Hugo Magnetti,Brest,24, DMC  ,16(12),1462,1,0.3,24,84.8,0.1,1.6,0,6.45
Oualid El Hajjam,Troyes,32, D(CR)  ,12(7),1075,1,0.3,26.9,78.1,0.3,1.3,0,6.44
Wesley Saïd,Lens,27," AM(CLR),FW  ",7(14),650,0,0.7,10.3,74.1,0.1,0.5,0,6.44
Batista Mendy,Angers,23," D(C),DMC  ",27(7),2417,1,0.3,36.3,85.6,0,1.4,0,6.43
Alidu Seidu,Clermont Foot,22, D(CR)  ,16(5),1410,0,0.3,30.1,86.9,0,1.5,0,6.43
Maxime Estève,Montpellier,20, D(C)  ,20(4),1856,0,0.1,33.8,84.4,0,1,0,6.43
Salis Abdul Samed,Clermont Foot,22, DMC  ,29(2),2472,0,0.5,54.2,91,0,1.8,0,6.43
Gabriel Gudmundsson,Lille,23," D(L),M(LR)  ",15(15),1341,0,0.4,18.4,75.4,0.2,0.5,0,6.43
Azzedine Ounahi,Angers,22, AM(CR)  ,16(16),1627,1,0.6,27.1,88,0.1,1,0.1,6.43
Georginio Wijnaldum,PSG,32, M(CLR)  ,18(13),1654,3,0.4,23.7,90.2,0,0.5,0.1,6.42
Burak Yilmaz,Lille,37," AM(L),FW  ",25(6),2219,3,0.8,17,75.1,0.3,0.4,0,6.42
Boubacar Traoré,Metz,21, M(C)  ,17(10),1721,1,0.6,27,83.1,0,2,0.1,6.42
Dion Lopy,Reims,21, DMC  ,19(7),1647,0,0.3,23.7,87,0,1.9,0,6.42
Mama Baldé,Troyes,27," D(R),M(CLR),FW  ",20(10),1725,2,0.6,13.5,69.8,0.1,0.3,0,6.42
Sékou Mara,Bordeaux,20, FW  ,8(18),898,0,0.3,7.2,67.9,0,0.2,0,6.42
Nathanaël Mbuku,Reims,20," AM(CLR),FW  ",18(13),1423,1,0.3,10.9,75.4,0.2,0.2,0,6.42
Zaydou Youssouf,Saint-Etienne,23, M(CR)  ,18(12),1558,0,0.4,23.8,84.6,0.1,2.5,0,6.41
Junior Sambia,Montpellier,26," D(R),M(CR)  ",16(14),1528,0,0.4,17.8,78.3,0.3,1,0,6.41
Gideon Mensah,Bordeaux,24," D(L),M(L)  ",13(10),1206,2,0.7,26.7,84.9,0.6,0.7,0,6.41
Houboulang Mendes,Lorient,24, D(CR)  ,36,3223,1,0.4,33.6,83.9,0.4,1.7,0,6.41
Paul Bernardoni,Saint-Etienne,25, GK  ,19,1710,0,0,24.2,45.9,0,5,0,6.41
Jodel Dossou,Clermont Foot,30, AM(R)  ,23(12),2017,1,0.6,14.4,75.8,0.4,0.3,0,6.40
Ouparine Djoco,Clermont Foot,24, GK  ,23(1),2113,0,0,26.3,62,0,4.8,0,6.40
Massadio Haïdara,Lens,30," D(CL),M(L)  ",12(8),1078,1,0.2,28.1,85.2,0.1,0.8,0,6.40
Bradley Locko,Reims,20," D(L),M(L)  ",11(13),1011,1,0.3,15.5,77.7,0.1,0.9,0,6.40
Morgan Schneiderlin,Nice,33, DMC  ,5(15),639,1,0.2,20,85.5,0.1,0.8,0,6.40
Youssouf Koné,Troyes,27," D(CL),M(L)  ",11(10),981,1,0.4,17.2,77.3,0.3,1.1,0,6.39
Jérémy Le Douaron,Brest,24," AM(L),FW  ",16(16),1446,3,0.5,8,73.5,0.2,0,0,6.39
Jean-Eudes Aholou,Strasbourg,28, DMC  ,11(14),1002,1,0.2,16.2,83,0.1,0.3,0,6.39
Sébastien Corchia,Nantes,32," D(R),M(R)  ",13(15),1319,3,0.4,11.7,74,0.6,0.5,0,6.39
Pierrick Capelle,Angers,35," D(L),M(CLR)  ",12(18),1187,1,0.4,16.7,82,0.2,1,0,6.39
Jim Allevinah,Clermont Foot,28, M(LR)  ,13(17),1481,2,0.5,16.7,81.1,0.2,0.5,0,6.38
Calvin Stengs,Nice,24, M(CR)  ,11(13),1071,1,1,15.2,76.4,0.6,0.7,0.1,6.38
Ibrahima Niane,Metz,23," AM(L),FW  ",20(6),1592,1,0.4,15.8,71.3,0.1,0.3,0,6.38
Vincent Manceau,Angers,33, D(CLR)  ,25(3),2359,0,0.1,56,88.6,0,4.6,0,6.38
Harold-Desty Moukoudi,Saint-Etienne,25, D(C)  ,17(7),1658,0,0.1,38.6,89,0,3.5,0,6.37
Marcus Coco,Nantes,26," M(LR),FW  ",9(15),925,1,0.3,11.8,74.6,0.1,0.4,0,6.37
Jimmy Giraudon,Troyes,31, D(C)  ,18(1),1620,0,0.2,46.2,85.6,0,2.3,0,6.36
Opa Nguette,Metz,28," AM(LR),FW  ",10(16),1043,2,0.4,9.5,74,0,0,0,6.36
Samuel Moutoussamy,Nantes,26, M(CL)  ,16(14),1503,1,0.2,23.2,85.3,0.1,0.9,0,6.36
Ricardo Mangas,Bordeaux,24," D(CL),M(L)  ",27(2),2357,1,0.6,28.1,78.9,0.1,1.6,0,6.35
Mauro Icardi,PSG,30, FW  ,10(14),1019,0,0.4,6.2,80.5,0,0,0,6.35
Yoann Touzghar,Troyes,36, FW  ,16(12),1462,0,0.8,10.5,80.3,0,0.2,0,6.35
Yvann Maçon,Saint-Etienne,24," D(LR),M(R)  ",19(3),1538,0,0.6,33.6,75.5,0.5,1.7,0,6.34
Ignatius Ganago,Lens,24," AM(LR),FW  ",11(17),1020,1,0.4,6.8,74.1,0,0,0,6.34
Timothée Pembélé,Bordeaux,20," D(R),M(R)  ",17(9),1421,1,0.5,15.2,73,0.2,0.3,0,6.34
Stéphane Bahoken,Angers,30, FW  ,12(17),1096,1,0.3,7.1,74.8,0,0.2,0,6.33
Momo Cho,Angers,19, FW  ,21(11),1847,1,0.4,9,75.3,0.1,0.2,0,6.33
Evann Guessand,Nice,21," AM(R),FW  ",2(18),424,2,0.3,3.8,68,0,0.2,0,6.32
Saîf-Eddine Khaoui,Clermont Foot,27, AM(CR)  ,9(14),926,0,0.6,14.7,77.2,0.6,0.4,0,6.32
Irvin Cardona,Brest,25," AM(L),FW  ",13(19),1333,2,0.5,9.2,68.4,0.1,0.3,0,6.32
Dylan Chambost,Troyes,25, M(C)  ,9(10),753,1,0.5,24.7,79.5,0.3,1.3,0,6.32
Dango Ouattara,Lorient,21, AM(LR)  ,7(18),802,2,0.3,10,65.3,0,0.4,0,6.31
M'Baye Niang,Bordeaux,28," AM(LR),FW  ",7(15),769,1,0.4,7.9,59.5,0,0.3,0,6.30
Mitchell van Bergen,Reims,23," AM(LR),FW  ",11(9),987,0,0.9,8.6,72.5,0.7,0.2,0.1,6.30
Angel Gomes,Lille,22," M(CL),FW  ",12(12),955,1,0.6,15.8,80.2,0.1,0.9,0.1,6.30
Deiver Machado,Lens,29, M(L)  ,5(17),513,1,0.4,8.6,85.3,0.2,0.1,0,6.29
Enzo Ebosse,Angers,23, D(C)  ,21(6),1888,0,0.4,38.2,85.1,0.1,2.3,0,6.29
Quentin Boisgard,Lorient,25, AM(CLR)  ,9(16),953,1,0.4,13.8,77.3,0.6,0.4,0,6.28
Paul Nardi,Lorient,28, GK  ,22,1980,0,0,20.7,49.1,0,3.6,0,6.28
Lucas Gourna-Douath,Saint-Etienne,19, DMC  ,20(11),1808,0,0.3,27,88.5,0,1.4,0,6.28
