Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Ben Davies,Tottenham,29," D(CL),M(L)  "," D(CL),M(L)  ",19(4),2,2,0.5,0.7,0.2,0.5,0,0.2,0.5,6.64
Leon Bailey,Aston Villa,25," M(CLR),FW  "," M(CLR),FW  ",19(5),4,2,1.6,0.8,1.3,0.6,0.3,1.9,1.6,6.63
Neco Williams,Nottingham Forest,21," D(LR),M(LR)  "," D(LR),M(LR)  ",14(9),0,0,0.9,0.5,0.7,0.7,0,0.7,1,6.62
Ainsley Maitland-Niles,Southampton,25," D(LR),M(CLR)  "," D(LR),M(CLR)  ",9(5),0,0,0,0.5,0.7,0.4,0,0.6,1,6.62
Saïd Benrahma,West Ham,27, AM(CLR)  , AM(CLR)  ,14(9),3,3,1.9,1.4,1.5,0.5,0.2,1.2,1.7,6.62
Harvey Barnes,Leicester,25, AM(CL)  , AM(CL)  ,23,8,1,2.2,0.6,0.7,1,0.3,1.5,2.8,6.62
Ashley Young,Aston Villa,37," D(LR),M(LR)  "," D(LR),M(LR)  ",14(4),1,0,0.4,0.6,0.3,0.7,0,0.2,0.5,6.62
Kyle Walker-Peters,Southampton,25," D(LR),M(R)  "," D(LR),M(R)  ",17(1),1,0,0.3,0.6,1.3,1.4,0,1.8,1.2,6.62
Ruben Loftus-Cheek,Chelsea,27, M(CLR)  , M(CLR)  ,15(2),0,0,0.5,0.5,1.3,1.7,0.1,1,1.2,6.62
Anthony Gordon,Everton,22, AM(LR)  , AM(LR)  ,12(4),3,0,1.6,0.5,0.7,0.9,0.2,1.4,2,6.61
Bobby De Cordova-Reid,Fulham,30," D(R),M(CLR),FW  "," D(R),M(CLR),FW  ",24(1),4,1,1,0.6,0.5,0.8,0.2,0.9,1.9,6.61
Manuel Akanji,Man City,27, D(CR)  , D(CR)  ,16(3),0,1,0.6,0.2,0.2,0.4,0,0.1,0.4,6.61
Séamus Coleman,Everton,34," D(CR),M(R)  "," D(CR),M(R)  ",15(3),1,0,0.2,0.1,0.6,0.7,0.1,0.3,1.3,6.61
Vitaliy Mykolenko,Everton,23," D(CL),M(L)  "," D(CL),M(L)  ",25,0,0,0.3,0.7,0.4,0.6,0,0.3,0.8,6.60
Nathan Collins,Wolves,21, D(CR)  , D(CR)  ,17(1),0,0,0.1,0.1,0.3,0.4,0.1,0.3,0.5,6.60
Wilfried Gnonto,Leeds,19, AM(L)  , AM(L)  ,11(3),2,1,1.2,1.1,1,1.9,0.2,1.1,1.7,6.60
Jefferson Lerma,Bournemouth,28," D(R),DMC  "," D(R),DMC  ",24,3,0,0.8,0.4,0.4,1.1,0.1,0.5,0.8,6.60
Luke Ayling,Leeds,31," D(CR),M(R)  "," D(CR),M(R)  ",11(7),0,1,0.7,0.4,0.4,1.1,0.1,0.3,0.8,6.60
Idrissa Gueye,Everton,33, M(C)  , M(C)  ,20(1),0,1,0.1,0.3,0.6,1.8,0,0.7,1,6.60
César Azpilicueta,Chelsea,33," D(CLR),M(R)  "," D(CLR),M(R)  ",11(8),0,0,0.4,0.6,0.3,0.3,0.1,0.2,0.4,6.60
David de Gea,Man Utd,32, GK  , GK  ,25,0,0,0,0,0,0.1,0,0,0,6.59
Harvey Elliott,Liverpool,19, AM(CR)  , AM(CR)  ,15(10),1,2,1.1,0.8,0.7,0.9,0,0.8,1,6.59
Tyrone Mings,Aston Villa,29, D(CL)  , D(CL)  ,22,0,1,0,0.1,0.1,0.6,0,0.2,0.3,6.59
Demarai Gray,Everton,26," AM(CLR),FW  "," AM(CLR),FW  ",20(4),4,1,1.8,1.1,0.9,1.2,0.4,1.8,2.5,6.59
Marc Guéhi,Crystal Palace,22, D(C)  , D(C)  ,24,0,0,0.3,0.2,0.2,1,0,0.2,0.5,6.59
Robin Koch,Leeds,26," D(C),DMC  "," D(C),DMC  ",24,0,0,0.3,0,0,0.5,0,0,0.3,6.59
Jacob Ramsey,Aston Villa,21, AM(CLR)  , AM(CLR)  ,18(4),2,2,0.6,0.8,0.4,1.3,0,0.9,1.9,6.59
Ben Chilwell,Chelsea,26," D(L),M(L)  "," D(L),M(L)  ",7(7),1,2,0.5,0.4,0.2,0.9,0,0.8,1,6.59
Marc Roca,Leeds,26, DMC  , DMC  ,19(2),1,1,0.8,0.8,0.5,0.7,0,0.6,0.8,6.58
Eddie Nketiah,Arsenal,23, FW  , FW  ,9(14),4,1,1.7,0.3,0.7,1,0.3,0.7,1.2,6.58
Joe Aribo,Southampton,26," M(CLR),FW  "," M(CLR),FW  ",11(8),2,0,0.7,0.5,0.8,0.6,0,0.9,1.7,6.58
Fred,Man Utd,30, M(C)  , M(C)  ,10(12),2,1,1,1,0.4,0.7,0,0.5,1.1,6.58
Jeffrey Schlupp,Crystal Palace,30," D(L),M(CLR)  "," D(L),M(CLR)  ",21(3),1,0,0.8,0.3,0.8,1,0,0.8,0.9,6.58
Dean Henderson,Nottingham Forest,25, GK  , GK  ,18,0,0,0,0,0,0.1,0,0,0.1,6.57
Matheus Nunes,Wolves,24, M(C)  , M(C)  ,21(2),0,1,1,0.9,1.1,1.3,0,1.1,1.3,6.57
Roméo Lavia,Southampton,19, DMC  , DMC  ,14(2),1,0,0.3,0.4,0.7,1.8,0,1.1,0.7,6.57
Daniel Amartey,Leicester,28," D(CR),DMC  "," D(CR),DMC  ",15(2),0,0,0.2,0.3,0.1,0.2,0,0.2,0.4,6.57
Renan Lodi,Nottingham Forest,24," D(L),M(L)  "," D(L),M(L)  ",16(1),0,0,0.6,0.5,0.7,1.6,0.1,0.5,0.7,6.57
Konstantinos Tsimikas,Liverpool,26, D(L)  , D(L)  ,6(8),0,4,0.5,1.1,0.2,0.5,0,0.4,0.7,6.56
Julián Álvarez,Man City,23," AM(CR),FW  "," AM(CR),FW  ",6(13),5,0,1.3,0.5,0.4,0.4,0.1,0.5,0.7,6.56
João Moutinho,Wolves,36, M(C)  , M(C)  ,18(6),0,2,0.6,1.4,0.3,0.5,0,0.2,0.5,6.56
Joe Worrall,Nottingham Forest,26, D(C)  , D(C)  ,15(5),0,0,0.2,0.1,0.1,0.2,0,0.2,0.2,6.56
Danny Ings,Aston Villa,30," AM(C),FW  "," AM(C),FW  ",8(10),6,0,1.5,0.5,0.6,0.3,0.5,0.9,1.1,6.56
Tosin Adarabioyo,Fulham,25, D(CR)  , D(CR)  ,12(2),1,0,0.3,0.1,0.1,0.2,0,0.2,0.1,6.55
