Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Moussa Diarra,Toulouse,22, D(CL)  , D(CL)  ,10(9),0,1,0.1,0.3,0.3,0.7,0,0.2,1.2,6.35
Riad Nouri,AC Ajaccio,37, M(LR)  , M(LR)  ,12(10),1,1,0.6,1.1,0.4,0.5,0.1,0.7,1.1,6.35
Dennis Appiah,Nantes,30," D(CLR),M(R)  "," D(CLR),M(R)  ",9(6),0,0,0.3,0.3,0.4,0.1,0.1,0.7,0.8,6.34
Jérémie Bela,Clermont Foot,29, M(LR)  , M(LR)  ,7(7),1,1,0.6,0.2,0.5,1,0,0.4,0.9,6.34
Khalil Fayad,Montpellier,18, DMC  , DMC  ,5(12),0,2,0.3,0.4,0.3,0.6,0,0.4,0.4,6.33
Andreas Bruus,Troyes,24," D(R),M(R)  "," D(R),M(R)  ",13(5),0,2,0.3,1.1,0.6,0.3,0.1,0.2,0.9,6.33
Florent Ogier,Clermont Foot,33, D(C)  , D(C)  ,13(4),0,1,0.1,0.2,0.2,0.4,0,0,0.2,6.33
Pierrick Capelle,Angers,35," D(L),M(CLR)  "," D(L),M(CLR)  ",10(9),0,2,0.6,0.5,0.4,0.3,0,0.6,0.9,6.33
Habib Diarra,Strasbourg,19, M(C)  , M(C)  ,9(8),0,0,0.6,0.4,0.5,0.6,0,0.8,0.9,6.33
Mohamed Bayo,Lille,24, FW  , FW  ,5(13),3,0,1.1,0.5,0.4,0.2,0.3,0.6,0.9,6.33
Billal Brahimi,Nice,22, Forward  , Forward  ,3(15),3,2,0.7,0.6,0.3,0.2,0.2,0.6,0.9,6.32
Warren Zaïre-Emery,PSG,17, Midfielder  , Midfielder  ,3(11),2,0,0.4,0,0.4,0.4,0.1,0.5,0.4,6.32
Benoît Costil,Auxerre,35, GK  , GK  ,19,0,0,0,0,0.1,0,0,0,0,6.32
Bonke Innocent,Lorient,27, DMC  , DMC  ,10(9),0,1,0.1,0.3,0.2,0.3,0,0.2,0.3,6.31
Enzo Tchato Mbiayi,Montpellier,20, D(R)  , D(R)  ,10(8),1,1,0.2,0.3,0.2,0.4,0.1,0.4,0.7,6.31
Birger Meling,Rennes,28," D(LR),DMC  "," D(LR),DMC  ",5(13),0,0,0,0.1,0.1,0.4,0.1,0.2,0.4,6.30
Gauthier Hein,Auxerre,26, AM(R)  , AM(R)  ,12(11),2,0,0.9,0.7,0.4,0.4,0,0.6,0.7,6.30
Julian Jeanvier,Auxerre,30, D(C)  , D(C)  ,15,1,0,0.5,0,0.1,0.5,0,0.1,0.3,6.30
Cédric Hountondji,Angers,29, D(C)  , D(C)  ,26,0,0,0.3,0.1,0,0.2,0,0.1,0.3,6.30
Abdallah Sima,Angers,21," AM(R),FW  "," AM(R),FW  ",14(8),3,0,1.5,0.5,0.4,0.6,0.4,1,2,6.29
