team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
RB Leipzig,Péter Gulácsi,HUN,GK,27,1990,33,33,2970,33.0,52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0,Bundesliga,2017-2018
RB Leipzig,Yvon Mvogo,SUI,GK,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2017-2018
Schalke 04,Alexander Nübel,GER,GK,20,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,Bundesliga,2017-2018
Schalke 04,Ralf Fährmann,GER,GK,28,1988,34,34,3015,33.5,37,1.10,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40.0,Bundesliga,2017-2018
Stuttgart,Ron-Robert Zieler,GER,GK,28,1989,34,34,3060,34.0,36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3,Bundesliga,2017-2018
Werder Bremen,Jiří Pavlenka,CZE,GK,25,1992,34,34,3060,34.0,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3,Bundesliga,2017-2018
Wolfsburg,Koen Casteels,BEL,GK,25,1992,34,34,3060,34.0,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3,Bundesliga,2017-2018
Augsburg,Andreas Luthe,GER,GK,31,1987,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,,Bundesliga,2018-2019
Augsburg,Fabian Giefer,GER,GK,28,1990,4,4,360,4.0,7,1.75,19,12,63.2,1,1,2,0,0.0,0,0,0,0,,Bundesliga,2018-2019
Augsburg,Gregor Kobel,SUI,GK,20,1997,16,16,1390,15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50.0,Bundesliga,2018-2019
Bayern Munich,Manuel Neuer,GER,GK,32,1986,26,26,2303,25.6,23,0.90,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0.0,Bundesliga,2018-2019
Bayern Munich,Sven Ulreich,GER,GK,29,1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0,Bundesliga,2018-2019
Dortmund,Marwin Hitz,SUI,GK,30,1987,2,2,180,2.0,4,2.00,6,2,33.3,2,0,0,0,0.0,1,0,0,1,,Bundesliga,2018-2019
Dortmund,Roman Bürki,SUI,GK,27,1990,32,32,2880,32.0,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0,Bundesliga,2018-2019
Düsseldorf,Jaroslav Drobný,CZE,GK,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Bundesliga,2018-2019
Düsseldorf,Michael Rensing,GER,GK,34,1984,32,32,2880,32.0,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0,Bundesliga,2018-2019
Eint Frankfurt,Frederik Rønnow,DEN,GK,25,1992,2,1,122,1.4,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Bundesliga,2018-2019
Eint Frankfurt,Kevin Trapp,GER,GK,28,1990,33,33,2938,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0,Bundesliga,2018-2019
Freiburg,Alexander Schwolow,GER,GK,26,1992,33,33,2970,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0,Bundesliga,2018-2019
Freiburg,Mark Flekken,NED,GK,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2018-2019
Hannover 96,Michael Esser,GER,GK,30,1987,32,32,2880,32.0,66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,0,16.7,Bundesliga,2018-2019
Hannover 96,Philipp Tschauner,GER,GK,32,1985,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Bundesliga,2018-2019
Hannover 96,Samuel Şahin-Radlinger,AUT,GK,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2018-2019
Hertha BSC,Rune Jarstein,NOR,GK,33,1984,31,31,2745,30.5,48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,1,33.3,Bundesliga,2018-2019
Hertha BSC,Thomas Kraft,GER,GK,30,1988,4,3,315,3.5,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,0.0,Bundesliga,2018-2019
Hoffenheim,Gregor Kobel,SUI,GK,20,1997,1,1,90,1.0,1,1.00,7,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Bundesliga,2018-2019
Hoffenheim,Oliver Baumann,GER,GK,28,1990,33,33,2970,33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0,Bundesliga,2018-2019
Leverkusen,Lukáš Hrádecký,FIN,GK,28,1989,32,32,2880,32.0,47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,0,25.0,Bundesliga,2018-2019
Leverkusen,Ramazan Özcan,AUT,GK,34,1984,2,2,180,2.0,5,2.50,12,7,66.7,0,0,2,0,0.0,2,1,1,0,50.0,Bundesliga,2018-2019
M'Gladbach,Yann Sommer,SUI,GK,29,1988,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,Bundesliga,2018-2019
