team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
SPAL,Alfred Gomis,SEN,GK,23,1993,26,25,2261,25.1,43,1.71,140,98,73.6,6,7,12,3,12.0,7,6,1,0,14.3,Serie A,2017-2018
SPAL,Gabriele Marchegiani,ITA,GK,21,1996,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Serie A,2017-2018
Sampdoria,Christian Puggioni,ITA,GK,36,1981,9,9,810,9.0,12,1.33,53,41,83.0,5,2,2,3,33.3,3,3,0,0,0.0,Serie A,2017-2018
Sampdoria,Emiliano Viviano,ITA,GK,31,1985,27,27,2430,27.0,43,1.59,132,87,68.9,11,4,12,6,22.2,6,2,4,0,66.7,Serie A,2017-2018
Sampdoria,Vid Belec,SVN,GK,27,1990,2,2,180,2.0,5,2.50,15,10,73.3,0,0,2,0,0.0,1,1,0,0,0.0,Serie A,2017-2018
Sassuolo,Andrea Consigli,ITA,GK,30,1987,37,37,3316,36.8,58,1.57,172,114,67.4,11,10,16,10,27.0,3,2,1,0,33.3,Serie A,2017-2018
Sassuolo,Gianluca Pegolo,ITA,GK,36,1981,2,1,104,1.2,1,0.87,6,6,83.3,0,0,1,0,0.0,0,0,0,0,,Serie A,2017-2018
Torino,Salvatore Sirigu,ITA,GK,30,1987,37,37,3330,37.0,45,1.22,158,110,74.7,12,15,10,10,27.0,8,5,3,0,37.5,Serie A,2017-2018
Torino,Vanja Milinković-Savić,SRB,GK,20,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Serie A,2017-2018
Udinese,Albano Bizzarri,ARG,GK,39,1977,32,32,2880,32.0,52,1.62,143,92,65.0,11,4,17,8,25.0,5,2,2,1,50.0,Serie A,2017-2018
Udinese,Simone Scuffet,ITA,GK,21,1996,6,6,540,6.0,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100.0,Serie A,2017-2018
Atalanta,Etrit Berisha,ALB,GK,29,1989,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0,Serie A,2018-2019
Atalanta,Francesco Rossi,ITA,GK,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Serie A,2018-2019
Atalanta,Pierluigi Gollini,ITA,GK,23,1995,20,20,1800,20.0,21,1.05,70,49,74.3,11,6,3,4,20.0,3,3,0,0,0.0,Serie A,2018-2019
Bologna,Łukasz Skorupski,POL,GK,27,1991,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Serie A,2018-2019
Cagliari,Alessio Cragno,ITA,GK,24,1994,38,38,3420,38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0,Serie A,2018-2019
Chievo,Adrian Šemper,CRO,GK,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,,Serie A,2018-2019
Chievo,Andrea Seculin,ITA,GK,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Chievo,Stefano Sorrentino,ITA,GK,39,1979,31,31,2790,31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0,Serie A,2018-2019
Empoli,Bartłomiej Drągowski,POL,GK,20,1997,14,14,1260,14.0,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0,Serie A,2018-2019
Empoli,Ivan Provedel,ITA,GK,24,1994,16,16,1440,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0,Serie A,2018-2019
Empoli,Pietro Terracciano,ITA,GK,28,1990,8,8,720,8.0,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,,Serie A,2018-2019
Fiorentina,Alban Lafont,FRA,GK,19,1999,34,34,3015,33.5,40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,0,16.7,Serie A,2018-2019
Fiorentina,Bartłomiej Drągowski,POL,GK,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,Serie A,2018-2019
Fiorentina,Pietro Terracciano,ITA,GK,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Frosinone,Francesco Bardi,ITA,GK,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,Serie A,2018-2019
Frosinone,Marco Sportiello,ITA,GK,26,1992,35,35,3150,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,Serie A,2018-2019
Genoa,Federico Marchetti,ITA,GK,35,1983,4,4,360,4.0,10,2.50,18,9,44.4,2,0,2,1,25.0,0,0,0,0,,Serie A,2018-2019
Genoa,Ionuț Radu,ROU,GK,21,1997,33,33,2970,33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7,Serie A,2018-2019
Genoa,Jandrei,BRA,GK,25,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Inter,Samir Handanović,SVN,GK,34,1984,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0,Serie A,2018-2019
Juventus,Carlo Pinsoglio,ITA,GK,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Juventus,Mattia Perin,ITA,GK,25,1992,9,9,810,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0,Serie A,2018-2019
Juventus,Wojciech Szczęsny,POL,GK,28,1990,28,28,2520,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0,Serie A,2018-2019
Lazio,Guido Guerrieri,ITA,GK,22,1996,1,1,90,1.0,3,3.00,4,1,25.0,0,1,0,0,0.0,0,0,0,0,,Serie A,2018-2019
Lazio,Silvio Proto,BEL,GK,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Lazio,Thomas Strakosha,ALB,GK,23,1995,35,35,3150,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7,Serie A,2018-2019
Milan,Gianluigi Donnarumma,ITA,GK,19,1999,36,36,3092,34.3,31,0.90,126,95,77.8,18,11,7,11,30.6,4,3,1,0,25.0,Serie A,2018-2019
Milan,Pepe Reina,ESP,GK,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0,Serie A,2018-2019
Napoli,Alex Meret,ITA,GK,21,1997,14,13,1150,12.8,9,0.70,48,39,85.4,9,1,3,5,38.5,2,2,0,0,0.0,Serie A,2018-2019
Napoli,David Ospina,COL,GK,29,1988,17,16,1457,16.2,20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,0.0,Serie A,2018-2019
Napoli,Orestis Karnezis,GRE,GK,33,1985,9,9,810,9.0,7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,0.0,Serie A,2018-2019
Parma,Luigi Sepe,ITA,GK,27,1991,37,37,3330,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0,Serie A,2018-2019
Parma,Pierluigi Frattali,ITA,GK,32,1985,1,1,90,1.0,2,2.00,8,7,75.0,0,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Roma,Antonio Mirante,ITA,GK,35,1983,11,11,990,11.0,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0,Serie A,2018-2019
Roma,Robin Olsen,SWE,GK,28,1990,27,27,2430,27.0,42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0,Serie A,2018-2019
SPAL,Alfred Gomis,SEN,GK,24,1993,20,19,1723,19.2,27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,0.0,Serie A,2018-2019
SPAL,Emiliano Viviano,ITA,GK,32,1985,17,17,1525,16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0,Serie A,2018-2019
SPAL,Giacomo Poluzzi,ITA,GK,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Serie A,2018-2019
SPAL,Vanja Milinković-Savić,SRB,GK,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Sampdoria,Emil Audero,ITA,GK,21,1997,36,36,3240,36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5,Serie A,2018-2019
Sampdoria,Rafael Cabral,BRA,GK,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Serie A,2018-2019
Sassuolo,Andrea Consigli,ITA,GK,31,1987,36,36,3213,35.7,56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,1,42.9,Serie A,2018-2019
Sassuolo,Gianluca Pegolo,ITA,GK,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,,Serie A,2018-2019
Torino,Salvador Ichazo,URU,GK,26,1992,3,2,250,2.8,2,0.72,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0,Serie A,2018-2019
Torino,Salvatore Sirigu,ITA,GK,31,1987,36,36,3170,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0,Serie A,2018-2019
Udinese,Juan Musso,ARG,GK,24,1994,29,29,2610,29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0,Serie A,2018-2019
Udinese,Simone Scuffet,ITA,GK,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0,Serie A,2018-2019
Atalanta,Francesco Rossi,ITA,GK,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,,Serie A,2019-2020
Atalanta,Marco Sportiello,ITA,GK,27,1992,6,5,525,5.8,5,0.86,18,13,72.2,4,0,1,2,40.0,0,0,0,0,,Serie A,2019-2020
Atalanta,Pierluigi Gollini,ITA,GK,24,1995,33,33,2884,32.0,42,1.31,120,81,70.0,19,9,5,8,24.2,6,6,0,0,0.0,Serie A,2019-2020
Bologna,Angelo da Costa Júnior,BRA,GK,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Serie A,2019-2020
Bologna,Łukasz Skorupski,POL,GK,28,1991,37,37,3330,37.0,64,1.73,187,123,69.0,12,10,15,2,5.4,8,6,1,1,14.3,Serie A,2019-2020
Brescia,Enrico Alfonso,ITA,GK,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Serie A,2019-2020
Brescia,Jesse Joronen,FIN,GK,26,1993,29,29,2610,29.0,59,2.03,181,124,72.4,5,6,18,5,17.2,10,9,1,0,10.0,Serie A,2019-2020
Brescia,Lorenzo Andrenacci,ITA,GK,24,1995,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,,Serie A,2019-2020
Cagliari,Alessio Cragno,ITA,GK,25,1994,16,16,1440,16.0,21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,0,50.0,Serie A,2019-2020
Cagliari,Rafael,BRA,GK,37,1982,6,5,454,5.0,11,2.18,17,6,47.1,1,1,3,0,0.0,3,2,0,1,0.0,Serie A,2019-2020
Cagliari,Robin Olsen,SWE,GK,29,1990,17,17,1524,16.9,24,1.42,89,67,77.5,8,5,4,4,23.5,4,4,0,0,0.0,Serie A,2019-2020
Fiorentina,Bartłomiej Drągowski,POL,GK,21,1997,31,31,2790,31.0,43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,0,25.0,Serie A,2019-2020
Fiorentina,Federico Brancolini,ITA,GK,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Serie A,2019-2020
Fiorentina,Pietro Terracciano,ITA,GK,29,1990,7,7,624,6.9,5,0.72,23,18,91.3,5,1,1,2,28.6,3,3,0,0,0.0,Serie A,2019-2020
Genoa,Ionuț Radu,ROU,GK,22,1997,17,17,1530,17.0,35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,1,0.0,Serie A,2019-2020
Genoa,Mattia Perin,ITA,GK,26,1992,21,21,1890,21.0,38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,1,0.0,Serie A,2019-2020
Hellas Verona,Boris Radunović,SRB,GK,23,1996,3,3,270,3.0,8,2.67,15,7,60.0,1,0,2,1,33.3,2,2,0,0,0.0,Serie A,2019-2020
Hellas Verona,Marco Silvestri,ITA,GK,28,1991,35,35,3150,35.0,43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,0.0,Serie A,2019-2020
Inter,Daniele Padelli,ITA,GK,33,1985,4,4,270,3.0,4,1.33,8,4,62.5,2,0,1,1,25.0,1,1,0,0,0.0,Serie A,2019-2020
Inter,Samir Handanović,SVN,GK,35,1984,35,35,3150,35.0,32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3,Serie A,2019-2020
Juventus,Carlo Pinsoglio,ITA,GK,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Serie A,2019-2020
Juventus,Gianluigi Buffon,ITA,GK,41,1978,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0,Serie A,2019-2020
Juventus,Wojciech Szczęsny,POL,GK,29,1990,29,29,2591,28.8,33,1.15,129,95,80.6,19,4,6,11,37.9,10,8,1,1,11.1,Serie A,2019-2020
Lazio,Thomas Strakosha,ALB,GK,24,1995,38,38,3420,38.0,42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,1,12.5,Serie A,2019-2020
Lecce,Gabriel,BRA,GK,26,1992,34,34,2997,33.3,76,2.28,227,152,70.9,6,8,20,2,5.9,12,10,2,0,16.7,Serie A,2019-2020
Lecce,Mauro Vigorito,ITA,GK,29,1990,5,4,423,4.7,9,1.91,29,20,72.4,3,0,1,1,25.0,1,1,0,0,0.0,Serie A,2019-2020
Milan,Asmir Begović,BIH,GK,32,1987,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Serie A,2019-2020
Milan,Gianluigi Donnarumma,ITA,GK,20,1999,36,36,3201,35.6,42,1.18,141,96,73.0,18,9,9,12,33.3,8,4,4,0,50.0,Serie A,2019-2020
Milan,Pepe Reina,ESP,GK,36,1982,2,2,90,1.0,1,1.00,6,4,83.3,1,0,0,0,0.0,1,0,1,0,100.0,Serie A,2019-2020
Napoli,Alex Meret,ITA,GK,22,1997,22,21,1951,21.7,33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7,Serie A,2019-2020
Napoli,David Ospina,COL,GK,30,1988,17,17,1469,16.3,17,1.04,54,37,72.2,9,3,5,4,23.5,2,2,0,0,0.0,Serie A,2019-2020
Parma,Luigi Sepe,ITA,GK,28,1991,34,34,3060,34.0,53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,0,33.3,Serie A,2019-2020
Parma,Simone Colombi,ITA,GK,28,1991,4,4,360,4.0,4,1.00,19,15,84.2,1,1,2,1,25.0,2,1,0,1,0.0,Serie A,2019-2020
Roma,Antonio Mirante,ITA,GK,36,1983,5,5,450,5.0,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0,Serie A,2019-2020
Roma,Daniel Fuzato,BRA,GK,22,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Serie A,2019-2020
Roma,Pau López,ESP,GK,24,1994,32,32,2880,32.0,45,1.41,132,86,72.0,18,6,8,5,15.6,9,8,1,0,11.1,Serie A,2019-2020
SPAL,Demba Thiam,SEN,GK,21,1998,2,2,180,2.0,4,2.00,16,12,81.3,0,1,1,0,0.0,1,1,0,0,0.0,Serie A,2019-2020
SPAL,Etrit Berisha,ALB,GK,30,1989,26,26,2340,26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0,Serie A,2019-2020
SPAL,Karlo Letica,CRO,GK,22,1997,10,10,900,10.0,29,2.90,65,36,55.4,0,1,9,0,0.0,1,0,1,0,100.0,Serie A,2019-2020
Sampdoria,Emil Audero,ITA,GK,22,1997,36,36,3240,36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0,Serie A,2019-2020
Sampdoria,Wladimiro Falcone,ITA,GK,24,1995,2,2,180,2.0,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0,Serie A,2019-2020
Sassuolo,Andrea Consigli,ITA,GK,32,1987,31,31,2790,31.0,55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,0,12.5,Serie A,2019-2020
Sassuolo,Gianluca Pegolo,ITA,GK,38,1981,5,5,450,5.0,4,0.80,27,24,85.2,2,2,1,2,40.0,0,0,0,0,,Serie A,2019-2020
Sassuolo,Stefano Turati,ITA,GK,17,2001,2,2,180,2.0,4,2.00,12,8,75.0,0,2,0,0,0.0,1,1,0,0,0.0,Serie A,2019-2020
Torino,Antonio Rosati,ITA,GK,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Serie A,2019-2020
Torino,Salvatore Sirigu,ITA,GK,32,1987,36,36,3240,36.0,64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,0,10.0,Serie A,2019-2020
Torino,Samir Ujkani,KVX,GK,31,1988,1,1,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Serie A,2019-2020
Udinese,Juan Musso,ARG,GK,25,1994,38,38,3420,38.0,51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0,Serie A,2019-2020
Atalanta,Marco Sportiello,ITA,GK,28,1992,15,13,1261,14.0,21,1.50,47,25,57.4,9,1,3,2,15.4,2,1,1,0,50.0,Serie A,2020-2021
Atalanta,Pierluigi Gollini,ITA,GK,25,1995,25,25,2156,24.0,26,1.09,65,38,66.2,14,8,3,9,36.0,6,4,2,0,33.3,Serie A,2020-2021
Benevento,Lorenzo Montipò,ITA,GK,24,1996,37,37,3330,37.0,74,2.00,172,103,59.3,7,11,19,7,18.9,5,4,1,0,20.0,Serie A,2020-2021
Benevento,Niccolò Manfredini,ITA,GK,32,1988,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Serie A,2020-2021
Bologna,Angelo da Costa Júnior,BRA,GK,36,1983,6,6,540,6.0,9,1.50,27,18,70.4,0,5,1,1,16.7,1,1,0,0,0.0,Serie A,2020-2021
Bologna,Federico Ravaglia,ITA,GK,20,1999,4,4,360,4.0,10,2.50,19,10,52.6,0,1,3,0,0.0,1,1,0,0,0.0,Serie A,2020-2021
Bologna,Łukasz Skorupski,POL,GK,29,1991,28,28,2520,28.0,46,1.64,147,100,72.1,10,5,13,4,14.3,7,5,2,0,28.6,Serie A,2020-2021
Cagliari,Alessio Cragno,ITA,GK,26,1994,34,34,3060,34.0,53,1.56,182,129,73.6,6,10,18,6,17.6,5,5,0,0,0.0,Serie A,2020-2021
Cagliari,Guglielmo Vicario,ITA,GK,23,1996,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,,Serie A,2020-2021
Crotone,Alex Cordaz,ITA,GK,37,1983,36,36,3240,36.0,91,2.53,207,118,58.5,6,3,27,2,5.6,5,5,0,0,0.0,Serie A,2020-2021
Crotone,Gian Crespi,ITA,GK,19,2001,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Serie A,2020-2021
Crotone,Marco Festa,ITA,GK,28,1992,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,0,0,0,0,,Serie A,2020-2021
Fiorentina,Bartłomiej Drągowski,POL,GK,22,1997,36,36,3148,35.0,55,1.57,141,85,66.7,9,12,15,7,19.4,10,8,2,0,20.0,Serie A,2020-2021
Fiorentina,Pietro Terracciano,ITA,GK,30,1990,4,2,272,3.0,4,1.32,11,7,63.6,0,1,1,2,100.0,1,0,1,0,100.0,Serie A,2020-2021
Genoa,Alberto Paleari,ITA,GK,27,1992,3,2,206,2.3,3,1.31,12,9,75.0,1,0,1,1,50.0,0,0,0,0,,Serie A,2020-2021
Genoa,Federico Marchetti,ITA,GK,37,1983,4,4,334,3.7,11,2.96,18,7,38.9,0,1,3,0,0.0,0,0,0,0,,Serie A,2020-2021
Genoa,Mattia Perin,ITA,GK,27,1992,32,32,2879,32.0,44,1.38,158,116,76.6,9,11,12,8,25.0,7,7,0,0,0.0,Serie A,2020-2021
Hellas Verona,Alessandro Berardi,ITA,GK,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Serie A,2020-2021
Hellas Verona,Ivor Pandur,CRO,GK,20,2000,4,4,332,3.7,6,1.63,13,7,53.8,0,3,1,0,0.0,0,0,0,0,,Serie A,2020-2021
Hellas Verona,Marco Silvestri,ITA,GK,29,1991,34,34,3060,34.0,42,1.24,131,91,72.5,11,9,14,7,20.6,7,6,0,1,0.0,Serie A,2020-2021
Inter,Daniele Padelli,ITA,GK,34,1985,1,0,45,0.5,1,2.00,2,1,100.0,0,0,0,0,,1,1,0,0,0.0,Serie A,2020-2021
Inter,Ionuț Radu,ROU,GK,23,1997,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Serie A,2020-2021
Inter,Samir Handanović,SVN,GK,36,1984,37,37,3240,36.0,33,0.92,110,76,73.6,27,7,3,14,37.8,6,4,2,0,33.3,Serie A,2020-2021
Juventus,Carlo Pinsoglio,ITA,GK,30,1990,1,0,23,0.3,1,3.91,2,1,50.0,0,0,0,0,,0,0,0,0,,Serie A,2020-2021
Juventus,Gianluigi Buffon,ITA,GK,42,1978,8,8,720,8.0,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3,Serie A,2020-2021
Juventus,Wojciech Szczęsny,POL,GK,30,1990,30,30,2677,29.7,32,1.08,98,66,71.4,16,8,6,5,16.7,6,4,2,0,33.3,Serie A,2020-2021
Lazio,Pepe Reina,ESP,GK,37,1982,29,29,2610,29.0,41,1.41,113,74,70.8,18,3,8,9,31.0,8,8,0,0,0.0,Serie A,2020-2021
Lazio,Thomas Strakosha,ALB,GK,25,1995,9,9,810,9.0,14,1.56,38,24,68.4,3,2,4,3,33.3,2,2,0,0,0.0,Serie A,2020-2021
Milan,Ciprian Tătărușanu,ROU,GK,34,1986,1,1,90,1.0,3,3.00,7,4,71.4,0,1,0,0,0.0,1,1,0,0,0.0,Serie A,2020-2021
Milan,Gianluigi Donnarumma,ITA,GK,21,1999,37,37,3330,37.0,38,1.03,126,88,71.4,24,6,7,14,37.8,4,2,1,1,33.3,Serie A,2020-2021
Napoli,Alex Meret,ITA,GK,23,1997,22,22,1980,22.0,29,1.32,81,53,66.7,13,5,4,6,27.3,2,2,0,0,0.0,Serie A,2020-2021
Napoli,David Ospina,COL,GK,31,1988,16,16,1440,16.0,12,0.75,42,30,78.6,11,0,5,8,50.0,3,3,0,0,0.0,Serie A,2020-2021
Parma,Luigi Sepe,ITA,GK,29,1991,36,36,3240,36.0,76,2.11,181,108,59.1,3,11,22,5,13.9,2,2,0,0,0.0,Serie A,2020-2021
Parma,Simone Colombi,ITA,GK,29,1991,2,2,180,2.0,7,3.50,10,3,40.0,0,0,2,0,0.0,1,1,0,0,0.0,Serie A,2020-2021
Roma,Antonio Mirante,ITA,GK,37,1983,13,13,1153,12.8,19,1.48,56,36,69.6,6,3,4,5,38.5,3,2,1,0,33.3,Serie A,2020-2021
Roma,Daniel Fuzato,BRA,GK,23,1997,5,5,450,5.0,7,1.40,26,19,73.1,2,1,2,2,40.0,0,0,0,0,,Serie A,2020-2021
Roma,Pau López,ESP,GK,25,1994,21,20,1817,20.2,29,1.44,85,59,69.4,10,4,6,4,20.0,3,3,0,0,0.0,Serie A,2020-2021
Sampdoria,Emil Audero,ITA,GK,23,1997,37,37,3330,37.0,54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,0,22.2,Serie A,2020-2021
Sampdoria,Karlo Letica,CRO,GK,23,1997,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Serie A,2020-2021
Sassuolo,Andrea Consigli,ITA,GK,33,1987,37,37,3330,37.0,56,1.51,185,129,71.9,17,10,10,7,18.9,5,4,1,0,20.0,Serie A,2020-2021
Sassuolo,Gianluca Pegolo,ITA,GK,39,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Serie A,2020-2021
Spezia,Ivan Provedel,ITA,GK,26,1994,29,29,2610,29.0,55,1.90,131,75,62.6,6,10,13,4,13.8,7,6,1,0,14.3,Serie A,2020-2021
Spezia,Jeroen Zoet,NED,GK,29,1991,7,7,603,6.7,12,1.79,29,17,69.0,3,1,3,0,0.0,3,3,0,0,0.0,Serie A,2020-2021
Spezia,Rafael,BRA,GK,38,1982,3,2,207,2.3,5,2.17,18,13,72.2,0,1,1,1,50.0,0,0,0,0,,Serie A,2020-2021
Torino,Salvatore Sirigu,ITA,GK,33,1987,32,32,2880,32.0,62,1.94,134,72,59.7,5,13,14,7,21.9,9,8,0,1,0.0,Serie A,2020-2021
Torino,Samir Ujkani,KVX,GK,32,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Serie A,2020-2021
Torino,Vanja Milinković-Savić,SRB,GK,23,1997,5,5,450,5.0,6,1.20,20,14,75.0,2,2,1,1,20.0,1,1,0,0,0.0,Serie A,2020-2021
Udinese,Juan Musso,ARG,GK,26,1994,35,35,3147,35.0,51,1.46,149,98,74.5,9,10,16,8,22.9,13,13,0,0,0.0,Serie A,2020-2021
Udinese,Manuel Gasparini,ITA,GK,18,2002,1,0,3,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Serie A,2020-2021
Udinese,Nícolas Andrade,BRA,GK,32,1988,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,,Serie A,2020-2021
Udinese,Simone Scuffet,ITA,GK,24,1996,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Serie A,2020-2021
Atalanta,Francesco Rossi,ITA,GK,30,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,,Serie A,2021-2022
Atalanta,Juan Musso,ARG,GK,27,1994,33,33,2932,32.6,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,1,0.0,Serie A,2021-2022
Atalanta,Marco Sportiello,ITA,GK,29,1992,5,5,450,5.0,5,1.00,18,13,83.3,0,3,2,2,40.0,2,2,0,0,0.0,Serie A,2021-2022
Bologna,Francesco Bardi,ITA,GK,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,,Serie A,2021-2022
Bologna,Nicola Bagnolini,ITA,GK,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Serie A,2021-2022
