Name,Team,Age,Position,Minutes,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Toma Basic,Bordeaux,22,"Midfielder, Forward",1336,0,3,0,0.9,82.4,1.3,1,6.59,Ligue1,2018,1996,16,7,0.9,24.7,0.5,2.0,0.0,1.4,0.4,1.0,0.0,1.0,0.9,0.0,0
Casimir Ninga,Caen,26,"Midfielder, Forward",2476,3,9,0,1.6,76.4,0.9,1,6.58,Ligue1,2018,1992,28,5,0.8,14.2,0.2,0.4,0.1,1.6,0.7,1.9,0.0,0.3,0.9,0.0,0
Jimmy Durmaz,Toulouse,30,"Midfielder, Forward",1905,1,5,0,1.1,77.0,0.3,1,6.58,Ligue1,2018,1988,21,15,1.1,30.4,0.6,1.5,0.0,0.9,0.3,0.8,0.0,0.3,0.6,0.1,0
Gabriel Boschilia,Nantes,23,"Midfielder, Forward",1322,4,1,0,1.4,80.7,0.2,0,6.57,Ligue1,2018,1995,14,15,0.9,16.7,0.6,0.2,0.0,1.1,0.3,0.6,0.0,0.2,0.9,0.1,0
Moussa Konaté,Amiens,26,"Midfielder, Forward",1882,2,2,0,1.8,67.7,1.9,1,6.57,Ligue1,2018,1992,21,6,0.4,14.0,0.0,0.3,0.1,0.4,0.2,1.6,0.0,0.5,0.4,0.1,0
Juan Ferney Otero,Amiens,24,"Midfielder, Forward",2180,2,1,0,1.6,74.9,1.3,0,6.57,Ligue1,2018,1994,24,9,0.8,19.8,0.6,0.5,0.0,0.9,0.7,0.9,0.0,0.5,1.0,0.1,0
Jimmy Briand,Bordeaux,33,"Midfielder, Forward",2501,3,1,0,1.5,73.6,1.6,1,6.55,Ligue1,2018,1985,28,7,1.0,19.6,0.1,0.3,0.1,0.4,0.1,1.1,0.0,0.7,0.6,0.2,0
Myziane Maolida,Nice,19,"Midfielder, Forward",956,3,2,0,1.3,81.7,0.6,0,6.54,Ligue1,2018,1999,10,4,1.4,24.6,0.1,0.4,0.0,0.9,0.1,0.4,0.0,0.4,0.1,0.0,0
Claudio Beauvue,Caen,30,"Midfielder, Forward",1498,0,1,0,1.6,67.0,2.8,1,6.54,Ligue1,2018,1988,16,9,0.6,13.4,0.2,0.4,0.0,0.7,0.4,0.8,0.0,0.8,0.5,0.1,0
Majeed Waris,Nantes,27,"Midfielder, Forward",2256,3,3,0,1.2,75.2,0.4,0,6.54,Ligue1,2018,1991,25,8,0.8,17.0,0.2,0.4,0.1,0.7,0.2,0.5,0.0,0.2,0.6,0.0,0
Pablo Chavarria,Reims,31,"Midfielder, Forward",1978,3,3,0,1.4,62.3,2.6,0,6.53,Ligue1,2018,1987,23,7,0.7,13.0,0.2,0.1,0.0,0.7,0.1,1.6,0.0,0.6,0.4,0.0,0
Cesc Fàbregas,Monaco,31,"Midfielder, Forward",969,0,2,0,0.8,84.7,0.5,0,6.53,Ligue1,2018,1987,12,1,1.4,55.3,0.7,3.2,0.0,1.1,0.7,0.5,0.0,0.2,1.5,0.2,0
Romain Del Castillo,Rennes,23,"Midfielder, Forward",1339,3,1,0,0.7,74.5,0.7,1,6.52,Ligue1,2018,1995,15,14,0.8,16.7,0.5,0.2,0.0,1.2,0.7,1.1,0.0,0.2,0.8,0.0,0
Wesley Said,Dijon,24,"Midfielder, Forward",2261,1,4,0,1.7,74.5,0.6,1,6.51,Ligue1,2018,1994,25,9,0.8,16.1,0.2,0.4,0.0,0.7,0.3,1.4,0.0,0.3,0.4,0.0,0
Anthony Limbombe,Nantes,24,"Midfielder, Forward",1234,1,2,0,1.4,76.0,0.4,0,6.49,Ligue1,2018,1994,12,17,1.0,14.4,0.3,0.2,0.0,0.4,0.3,0.2,0.0,0.3,0.3,0.0,0
Lois Diony,Saint-Etienne,26,"Midfielder, Forward",1598,1,3,0,1.3,66.6,1.0,0,6.49,Ligue1,2018,1992,19,11,0.6,9.6,0.1,0.1,0.0,0.6,0.0,1.0,0.0,0.3,0.2,0.0,0
Saif-Eddine Khaoui,Caen,24,"Midfielder, Forward",1362,1,0,0,1.0,72.4,0.4,0,6.44,Ligue1,2018,1994,17,8,0.4,17.8,0.2,0.6,0.0,0.8,0.8,0.8,0.0,0.2,0.8,0.0,0
Nolan Roux,Guingamp,31,"Midfielder, Forward",1538,0,2,0,1.5,67.1,2.0,0,6.42,Ligue1,2018,1987,17,9,0.5,14.2,0.0,0.3,0.0,0.4,0.2,1.0,0.0,0.8,0.4,0.1,0
Marcus Coco,Guingamp,23,"Midfielder, Forward",1841,2,3,1,0.8,68.0,2.1,0,6.41,Ligue1,2018,1995,21,12,0.5,15.6,0.3,0.1,0.0,1.2,0.7,1.5,0.0,0.3,0.5,0.0,0
Junior Sambia,Montpellier,22,"Midfielder, Forward",913,1,3,0,0.8,80.6,0.4,0,6.39,Ligue1,2018,1996,7,23,0.8,11.3,0.6,0.6,0.0,0.5,0.2,0.6,0.0,0.1,0.3,0.1,0
Kwon Chang-Hoon,Dijon,25,"Midfielder, Forward",936,0,1,0,1.1,74.7,0.9,0,6.37,Ligue1,2018,1993,10,9,0.7,15.8,0.5,0.5,0.0,0.4,0.4,0.4,0.0,0.4,0.6,0.0,0
Jean-Victor Makengo,Nice,20,"Midfielder, Forward",1025,0,3,0,0.5,86.2,0.2,1,6.35,Ligue1,2018,1998,11,14,0.5,16.5,0.0,0.4,0.0,0.4,0.4,0.5,0.0,0.1,0.2,0.0,0
Cheick Timite,Amiens,21,"Midfielder, Forward",1453,1,2,0,1.3,76.6,0.8,0,6.34,Ligue1,2018,1997,15,12,0.6,12.3,0.2,0.3,0.0,0.7,0.4,1.5,0.0,0.4,0.5,0.1,0
Franck Ribéry,Bayern Munich,30,"Midfielder, Forward",1643,10,2,0,2.7,83.8,0.4,8,8.28,Bundesliga,2013,1983,18,4,2.5,53.9,1.0,2.8,0.2,0.8,0.7,0.9,0.0,0.0,1.3,0.0,0
Roberto Firmino,Hoffenheim,22,"Midfielder, Forward",2916,11,5,0,2.8,74.7,2.2,9,7.94,Bundesliga,2013,1991,33,0,2.1,43.6,0.2,1.2,0.5,2.5,0.8,2.2,0.0,0.6,2.3,0.0,0
Marco Reus,Borussia Dortmund,24,"Midfielder, Forward",2221,13,6,0,3.7,74.7,0.9,5,7.91,Bundesliga,2013,1989,26,4,3.0,33.9,1.3,1.9,0.2,1.2,0.5,1.1,0.0,0.3,1.2,0.1,0
Raffael,Borussia M.Gladbach,28,"Midfielder, Forward",2999,7,1,0,2.2,84.0,0.5,6,7.91,Bundesliga,2013,1985,34,0,1.9,42.0,0.2,1.8,0.2,1.4,0.8,0.6,0.0,0.1,2.9,0.1,0
Max Kruse,Borussia M.Gladbach,25,"Midfielder, Forward",3021,9,3,0,2.2,82.4,0.9,7,7.88,Bundesliga,2013,1988,34,0,2.9,44.5,1.9,3.8,0.2,0.8,0.4,0.6,0.0,0.1,1.2,0.1,0
Diego,Wolfsburg,29,"Midfielder, Forward",1274,2,7,0,2.8,81.8,0.6,1,7.73,Bundesliga,2013,1984,15,0,2.3,46.2,1.4,3.9,0.1,1.9,0.7,1.9,0.0,0.4,1.2,0.0,0
Mario Götze,Bayern Munich,21,"Midfielder, Forward",1830,8,0,0,1.9,87.9,0.6,4,7.72,Bundesliga,2013,1992,20,7,1.4,44.0,0.2,0.9,0.2,1.5,0.3,0.6,0.0,0.1,1.2,0.0,0
Kevin De Bruyne,Wolfsburg,22,"Midfielder, Forward",1420,6,2,1,2.1,74.2,1.1,1,7.71,Bundesliga,2013,1991,16,0,3.1,42.4,1.8,3.9,0.3,0.9,1.0,1.6,0.1,0.1,1.5,0.0,0
Jefferson Farfán,Schalke 04,29,"Midfielder, Forward",1524,5,2,0,1.5,80.1,0.9,2,7.7,Bundesliga,2013,1984,17,2,2.4,36.5,2.1,1.0,0.1,1.6,0.8,1.3,0.0,0.5,1.1,0.0,0
Julian Draxler,Schalke 04,20,"Midfielder, Forward",2154,6,5,0,1.8,84.1,1.9,3,7.69,Bundesliga,2013,1993,25,1,2.3,36.6,0.9,2.7,0.1,1.7,0.7,1.1,0.0,0.2,1.3,0.2,0
Arjen Robben,Bayern Munich,29,"Midfielder, Forward",1705,6,0,0,2.7,81.8,0.4,4,7.62,Bundesliga,2013,1984,20,8,1.8,31.4,1.0,0.9,0.1,0.4,0.1,0.4,0.0,0.0,0.8,0.1,0
Mario Mandzukic,Bayern Munich,28,"Midfielder, Forward",2028,4,5,0,2.5,72.7,3.0,1,7.5,Bundesliga,2013,1985,21,9,1.0,17.7,0.1,0.3,0.0,0.6,0.2,1.6,0.0,0.4,0.9,0.0,0
André Hahn,Augsburg,23,"Midfielder, Forward",2736,7,10,0,2.9,57.3,5.8,5,7.43,Bundesliga,2013,1990,30,2,1.1,22.7,1.0,0.8,0.0,2.2,0.8,2.8,0.0,1.1,2.9,0.2,0
Admir Mehmedi,Freiburg,22,"Midfielder, Forward",2618,4,2,1,2.5,76.7,1.5,4,7.4,Bundesliga,2013,1991,29,3,1.0,29.3,0.2,0.9,0.1,1.4,0.5,1.5,0.0,0.3,0.9,0.2,0
Son Heung-Min,Bayer Leverkusen,21,"Midfielder, Forward",2387,4,1,0,2.7,80.3,0.9,3,7.39,Bundesliga,2013,1992,29,2,1.1,22.1,0.5,1.0,0.1,1.2,0.9,0.5,0.0,0.1,1.5,0.0,0
Thomas Müller,Bayern Munich,24,"Midfielder, Forward",2173,10,2,0,2.3,78.6,1.6,3,7.36,Bundesliga,2013,1989,25,6,2.0,32.4,0.6,0.8,0.1,0.8,0.5,0.9,0.0,0.2,1.1,0.1,0
Eric Maxim Choupo-Moting,Mainz 05,24,"Midfielder, Forward",2046,3,1,0,2.6,78.5,3.0,5,7.33,Bundesliga,2013,1989,19,13,0.8,22.1,0.1,1.3,0.1,1.3,0.8,0.8,0.0,0.4,0.7,0.2,0
Mame Biram Diouf,Hannover 96,26,"Midfielder, Forward",1474,3,2,1,3.4,65.7,5.1,2,7.32,Bundesliga,2013,1987,18,1,0.8,18.4,0.1,0.3,0.0,0.5,0.3,1.8,0.0,0.6,0.5,0.1,0
Hakan Calhanoglu,Hamburger SV,20,"Midfielder, Forward",2451,4,2,1,2.8,71.5,1.0,0,7.31,Bundesliga,2013,1993,28,4,2.2,31.8,1.4,2.0,0.0,1.9,1.0,0.8,0.1,0.4,1.3,0.1,0
Aaron Hunt,Werder Bremen,27,"Midfielder, Forward",2675,6,2,0,1.9,76.5,1.1,1,7.31,Bundesliga,2013,1986,31,0,2.2,34.5,1.8,2.6,0.1,1.3,0.7,0.9,0.0,0.5,2.0,0.1,0
Kevin-Prince Boateng,Schalke 04,26,"Midfielder, Forward",2451,2,6,0,3.1,80.0,3.3,1,7.3,Bundesliga,2013,1987,28,0,1.1,42.3,0.0,3.9,0.0,1.0,1.0,3.2,0.0,1.0,1.2,0.4,0
Kevin Volland,Hoffenheim,21,"Midfielder, Forward",2880,4,4,0,2.8,69.2,1.7,1,7.29,Bundesliga,2013,1992,32,1,1.2,24.1,0.5,0.9,0.2,1.5,0.5,2.8,0.0,0.2,1.8,0.1,0
Juan Arango,Borussia M.Gladbach,34,"Midfielder, Forward",2608,5,2,0,2.6,73.4,3.2,1,7.25,Bundesliga,2013,1979,31,0,0.7,45.3,0.2,1.8,0.2,1.2,1.0,0.5,0.0,0.9,1.6,0.0,0
Shinji Okazaki,Mainz 05,27,"Midfielder, Forward",2719,1,2,0,2.2,76.0,3.4,3,7.23,Bundesliga,2013,1986,31,2,0.8,17.8,0.1,0.3,0.1,1.3,0.6,1.7,0.0,0.2,1.2,0.2,0
Lars Stindl,Hannover 96,25,"Midfielder, Forward",2657,2,6,0,1.7,77.3,1.7,1,7.22,Bundesliga,2013,1988,31,0,1.5,45.6,0.6,2.7,0.2,2.3,1.5,2.0,0.1,1.1,2.9,0.1,0
Alexander Meier,Eintracht Frankfurt,30,"Midfielder, Forward",1654,2,1,0,2.5,75.7,5.7,0,7.2,Bundesliga,2013,1983,18,4,1.0,25.6,0.0,1.5,0.0,0.6,0.5,1.7,0.0,1.2,1.1,0.1,0
Ivan Perisic,Wolfsburg,25,"Midfielder, Forward",2214,4,4,0,2.1,71.7,2.9,2,7.17,Bundesliga,2013,1988,24,9,0.8,26.1,0.2,2.2,0.0,1.1,0.8,0.7,0.0,0.4,1.3,0.1,0
Ivica Olic,Wolfsburg,34,"Midfielder, Forward",2409,5,2,0,2.3,69.4,2.6,1,7.16,Bundesliga,2013,1979,28,4,0.8,16.6,0.1,0.4,0.0,0.8,0.2,1.2,0.0,1.0,1.0,0.1,0
Vladimir Darida,Freiburg,23,"Midfielder, Forward",1886,6,3,0,1.6,75.8,1.5,1,7.11,Bundesliga,2013,1990,21,2,1.3,43.2,0.4,2.3,0.0,1.7,1.4,1.8,0.0,0.9,1.2,0.3,0
Tobias Werner,Augsburg,28,"Midfielder, Forward",2111,7,4,0,2.0,68.7,0.8,1,7.1,Bundesliga,2013,1985,25,6,1.9,16.3,1.3,1.0,0.0,1.6,0.9,1.2,0.0,0.6,1.7,0.1,0
