Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble
Slawomir Peszko,FC Cologne,34,Midfielder,2311,2.0,6,8.0,0.0,0.8,70.6,0.6,0.0,6.67,Bundesliga,2011,31,1,0.7,20.9,0.3,0.5,0.1,1.0,2.4,0.7,1.7,1.8,0.0
Mathias Abel,Kaiserslautern,38,"Midfielder, Forward",1838,0.0,0,2.0,0.0,0.4,80.7,2.3,0.0,6.66,Bundesliga,2011,20,2,0.1,33.0,0.0,3.4,0.0,0.2,0.4,0.0,0.4,0.5,0.0
Konstantin Rausch,Hannover 96,29,"Midfielder, Forward",2085,1.0,3,5.0,0.0,1.1,72.9,0.2,1.0,6.64,Bundesliga,2011,21,12,1.0,20.7,0.5,0.8,0.0,1.3,1.2,0.1,1.1,0.8,0.0
Sebastian Freis,Freiburg,34,"Midfielder, Forward",1006,3.0,1,4.0,0.0,1.1,71.9,0.5,0.0,6.63,Bundesliga,2011,11,4,0.9,15.4,0.1,0.2,0.1,1.2,0.8,0.3,1.8,2.1,0.0
Tobias Werner,Augsburg,33,"Midfielder, Forward",1144,1.0,2,3.0,0.0,1.9,61.9,0.5,0.0,6.62,Bundesliga,2011,13,9,1.0,15.5,0.7,0.5,0.1,1.0,1.3,0.5,1.0,0.6,0.0
Son Heung-Min,Hamburger SV,26,"Midfielder, Forward",1245,5.0,0,0.0,0.0,1.4,78.4,0.4,1.0,6.59,Bundesliga,2011,11,16,0.5,13.7,0.1,0.4,0.0,1.4,0.7,0.3,1.2,0.9,0.0
Oliver Kirch,Kaiserslautern,36,"Midfielder, Forward",1665,1.0,1,3.0,0.0,1.1,82.5,0.5,0.0,6.58,Bundesliga,2011,19,4,0.5,42.9,0.0,5.0,0.0,0.8,0.7,0.0,0.8,0.4,0.0
Didier Ya Konan,Hannover 96,35,"Midfielder, Forward",1764,6.0,1,3.0,1.0,2.5,76.0,0.7,1.0,6.58,Bundesliga,2011,16,12,0.6,19.8,0.2,0.7,0.0,1.6,0.6,0.7,1.9,1.3,0.0
Ammar Jemal,FC Cologne,32,"Midfielder, Forward",1161,1.0,0,3.0,0.0,0.3,77.0,0.6,1.0,6.57,Bundesliga,2011,13,2,0.1,27.5,0.2,1.9,0.0,0.4,0.7,0.1,0.2,0.5,0.0
Almog Cohen,Nuernberg,30,Midfielder,1102,0.0,0,5.0,0.0,0.5,70.2,0.5,0.0,6.56,Bundesliga,2011,12,12,0.3,16.0,0.0,1.4,0.0,0.3,1.2,0.1,0.5,0.2,0.0
Christian Schulz,Hannover 96,36,"Midfielder, Forward",2018,1.0,0,6.0,0.0,0.6,72.7,1.5,0.0,6.54,Bundesliga,2011,24,3,0.3,29.6,0.2,1.2,0.0,0.3,0.4,0.1,0.3,0.4,0.0
Tunay Torun,Hertha Berlin,29,Midfielder,866,4.0,0,3.0,0.0,1.0,79.0,0.2,0.0,6.53,Bundesliga,2011,10,10,0.4,17.2,0.1,1.1,0.1,1.4,0.6,0.3,1.0,0.5,0.0
Lorenzo Davids,Augsburg,32,"Midfielder, Forward",1492,0.0,0,1.0,0.0,0.2,71.8,0.2,0.0,6.53,Bundesliga,2011,18,2,0.4,24.8,0.2,1.4,0.0,0.2,0.8,0.2,0.5,0.6,0.0
Ariel Borysiuk,Kaiserslautern,27,"Midfielder, Forward",973,0.0,0,2.0,1.0,0.6,80.0,0.5,0.0,6.51,Bundesliga,2011,12,0,0.2,33.3,0.0,4.8,0.0,0.2,0.5,0.0,0.5,0.3,0.0
Hasan Salihamidzic,Wolfsburg,42,"Midfielder, Forward",799,3.0,0,3.0,0.0,0.5,71.5,0.7,1.0,6.5,Bundesliga,2011,10,5,0.7,24.1,0.4,1.3,0.0,0.6,0.8,0.0,0.9,0.8,0.0
Marcel Ndjeng,Augsburg,37,"Midfielder, Forward",990,1.0,1,1.0,0.0,1.4,71.1,0.4,0.0,6.48,Bundesliga,2011,11,8,0.6,13.8,0.7,0.4,0.0,0.6,0.8,0.2,0.9,0.9,0.0
Christian Eigler,Nuernberg,35,"Midfielder, Forward",1218,1.0,1,3.0,0.0,1.0,64.1,1.0,0.0,6.46,Bundesliga,2011,13,10,0.7,12.6,0.3,0.7,0.0,0.6,1.2,0.3,0.5,1.0,0.0
